"Tabela 96 - Mulheres de 10 anos ou mais de idade, total e que tiveram filhos, e os filhos tidos pelas mulheres de 10 anos ou mais de idade, os nascidos vivos, os nascidos vivos no período de referência de 12 meses, os nascidos mortos e os que estavam vivos na data de referência, segundo a situação do domicílio, a cor ou raça, o estado civil, o nível de instrução e os grupos de idade das mulheres"
"Variável - Mulheres de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Ano x Situação do domicílio x Cor ou raça x Estado civil"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"2010"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Total";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Urbana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Rural"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração";;;;;"Branca";;;;;"Preta";;;;;"Amarela";;;;;"Parda";;;;;"Indígena";;;;;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Nível de instrução";"Grupos de idade das mulheres";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira";"Casada";"Desquitada ou separada judicialmente";"Divorciada";"Viúva";"Solteira"
"Brasil";"Sem instrução e fundamental incompleto";"65 a 69 anos";"478884";"25683";"40540";"322703";"104666";"58953";"4175";"6246";"61842";"40298";"12917";"567";"878";"6855";"2779";"342086";"19090";"26647";"252499";"143256";"2749";"308";"200";"2219";"2614";"76";"11";"11";"136";"119";"384286";"23710";"38528";"288053";"88961";"46778";"3788";"5844";"53750";"33562";"10481";"508";"808";"6018";"2279";"252065";"16806";"24762";"214229";"109089";"1493";"271";"189";"1401";"819";"76";"11";"11";"129";"119";"94598";"1973";"2012";"34650";"15705";"12175";"387";"402";"8092";"6736";"2437";"59";"70";"838";"500";"90021";"2284";"1885";"38270";"34167";"1256";"37";"11";"818";"1795";"-";"-";"-";"6";"-"
"Brasil";"Sem instrução e fundamental incompleto";"70 anos ou mais";"689412";"34096";"44888";"1394905";"212565";"74117";"5074";"6299";"191107";"75131";"19337";"520";"810";"32508";"5233";"415433";"23360";"26188";"806381";"235324";"3387";"263";"280";"7078";"4431";"74";"11";"24";"280";"110";"568456";"31734";"42740";"1247089";"181465";"58791";"4587";"5912";"167069";"62224";"16263";"492";"739";"29340";"4224";"308459";"20481";"24066";"675598";"177033";"1792";"200";"241";"4717";"1618";"63";"11";"24";"254";"110";"120955";"2361";"2148";"147816";"31100";"15327";"487";"387";"24038";"12907";"3074";"29";"71";"3168";"1009";"106974";"2879";"2123";"130782";"58291";"1595";"63";"39";"2361";"2813";"11";"-";"-";"26";"-"
"Brasil";"Fundamental completo e médio incompleto";"15 a 19 anos";"57016";"1588";"1058";"896";"1733302";"7483";"228";"154";"153";"243368";"1629";"42";"12";"35";"44299";"63439";"1748";"1032";"933";"1743798";"740";"10";"9";"7";"10182";"-";"-";"-";"-";"17";"45666";"1384";"964";"764";"1529473";"5998";"196";"140";"130";"215150";"1320";"38";"12";"35";"38925";"49600";"1463";"818";"784";"1449667";"295";"2";"-";"7";"5412";"-";"-";"-";"-";"17";"11350";"203";"94";"132";"203829";"1484";"32";"15";"23";"28218";"310";"3";"-";"-";"5373";"13838";"285";"214";"148";"294131";"446";"8";"9";"-";"4770";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"20 a 24 anos";"164596";"5292";"5046";"1424";"547141";"24534";"750";"677";"144";"131585";"5276";"127";"151";"52";"18065";"170592";"4858";"4618";"2127";"751090";"1224";"9";"48";"45";"5654";"-";"-";"-";"-";"-";"133226";"4834";"4653";"1229";"477281";"20876";"655";"619";"140";"115754";"4495";"122";"138";"39";"15466";"134154";"4242";"4167";"1850";"615565";"474";"6";"42";"21";"2967";"-";"-";"-";"-";"-";"31370";"458";"393";"195";"69860";"3658";"95";"58";"4";"15831";"781";"6";"13";"13";"2599";"36438";"617";"451";"276";"135525";"751";"3";"5";"24";"2687";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"25 a 29 anos";"236637";"10101";"12129";"3080";"379023";"33781";"1498";"1620";"678";"97082";"6152";"245";"296";"140";"12059";"223182";"7921";"10074";"3918";"493771";"1231";"18";"45";"78";"3176";"-";"-";"-";"-";"-";"198789";"9307";"11354";"2749";"338967";"29377";"1376";"1553";"599";"87099";"5369";"227";"261";"134";"10633";"183665";"7220";"9344";"3415";"419554";"785";"14";"37";"47";"1794";"-";"-";"-";"-";"-";"37847";"795";"775";"331";"40056";"4404";"122";"67";"79";"9982";"783";"18";"35";"6";"1426";"39517";"701";"730";"503";"74217";"447";"4";"8";"31";"1382";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"30 a 34 anos";"278427";"14461";"22297";"5315";"266640";"37175";"1663";"2743";"1615";"70374";"6187";"294";"552";"192";"8074";"239375";"11118";"17390";"6553";"335343";"1406";"26";"60";"47";"2041";"-";"-";"-";"-";"-";"243762";"13637";"21191";"4929";"243145";"33633";"1600";"2610";"1507";"64251";"5312";"291";"517";"192";"7297";"207626";"10336";"16308";"5970";"294745";"928";"7";"60";"42";"1401";"-";"-";"-";"-";"-";"34665";"824";"1106";"386";"23495";"3542";"62";"132";"108";"6124";"875";"4";"36";"-";"777";"31748";"782";"1081";"583";"40598";"478";"19";"-";"5";"640";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"35 a 39 anos";"304593";"17763";"31623";"10391";"196772";"36731";"2282";"3775";"1782";"47985";"6904";"456";"688";"261";"5257";"233750";"12071";"22483";"9150";"232197";"1398";"79";"112";"53";"1648";"17";"-";"-";"-";"-";"272486";"16765";"30213";"9589";"182251";"33840";"2227";"3674";"1689";"44708";"6296";"423";"670";"209";"4790";"205700";"11406";"21472";"8404";"207918";"975";"66";"93";"35";"1120";"17";"-";"-";"-";"-";"32106";"997";"1410";"802";"14521";"2891";"56";"101";"93";"3276";"608";"33";"18";"52";"467";"28050";"665";"1010";"745";"24279";"424";"13";"19";"18";"528";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"40 a 44 anos";"314901";"20560";"40998";"18966";"144810";"34478";"2721";"4538";"2972";"35611";"6080";"455";"885";"526";"3500";"217979";"12216";"25914";"15842";"162306";"1200";"51";"121";"84";"1103";"-";"-";"-";"-";"-";"284832";"19793";"39381";"17932";"135792";"31982";"2622";"4342";"2849";"33676";"5511";"446";"855";"519";"3252";"195547";"11595";"24682";"14707";"148603";"966";"51";"95";"57";"922";"-";"-";"-";"-";"-";"30069";"766";"1617";"1034";"9019";"2496";"100";"196";"123";"1935";"568";"10";"30";"7";"248";"22431";"621";"1232";"1135";"13702";"234";"-";"26";"27";"182";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"45 a 49 anos";"307968";"22241";"44832";"26971";"105626";"31292";"2465";"4973";"4633";"26499";"5030";"357";"716";"493";"2378";"187278";"12245";"26212";"19692";"106125";"768";"91";"149";"150";"747";"-";"-";"-";"-";"-";"281326";"21389";"43511";"25521";"100170";"29294";"2387";"4773";"4416";"25316";"4571";"333";"708";"475";"2245";"170046";"11755";"25169";"18480";"98126";"583";"84";"142";"150";"636";"-";"-";"-";"-";"-";"26642";"852";"1321";"1451";"5456";"1998";"78";"200";"217";"1183";"459";"24";"7";"18";"133";"17232";"490";"1043";"1212";"7999";"185";"7";"8";"-";"111";"-";"-";"-";"-";"-"
"Brasil";"Fundamental completo e médio incompleto";"50 a 54 anos";"246925";"19115";"39925";"38504";"68374";"25779";"2429";"4325";"5773";"18540";"4594";"240";"767";"736";"1708";"142747";"9396";"21868";"26268";"64853";"866";"67";"189";"131";"400";"-";"-";"-";"-";"-";"228124";"18481";"38849";"36832";"64889";"24475";"2360";"4270";"5576";"17822";"4162";"240";"734";"669";"1632";"130615";"8979";"21199";"25051";"60900";"710";"67";"162";"102";"351";"-";"-";"-";"-";"-";"18801";"633";"1076";"1672";"3485";"1304";"69";"54";"197";"719";"431";"-";"33";"67";"76";"12132";"418";"669";"1218";"3953";"156";"-";"27";"29";"49";"-";"-";"-";"-";"-"
