"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Pará";"Mulheres";"Amarela";"65";"-";"65";"1006";"656";"74";"84";"112";"42";"75";"88";"79";"103";"350";"58";"122";"43";"127";"227";"68";"159";"688";"565";"86";"71";"114";"77";"35";"42";"69";"71";"122";"73";"-";"-";"49";"540";"161";"379";"1511";"1248";"318";"344";"161";"154";"119";"52";"82";"18";"263";"71";"66";"53";"72";"98";"-";"98";"1411";"1247";"193";"259";"293";"205";"135";"56";"59";"47";"165";"25";"23";"65";"52"
"Pará";"Mulheres";"Parda";"56267";"15294";"40972";"652928";"504911";"47003";"54608";"66119";"71694";"70830";"69580";"66475";"58603";"148017";"49698";"37209";"27100";"34011";"104203";"43067";"61137";"257800";"239597";"49333";"42952";"40178";"32886";"24834";"20104";"16865";"12445";"18203";"8270";"4718";"2914";"2302";"170163";"38810";"131353";"533569";"511193";"113355";"101417";"92008";"74675";"50820";"36256";"24698";"17965";"22376";"10831";"6106";"2795";"2644";"15144";"756";"14388";"207871";"196559";"30948";"34828";"35143";"32976";"23241";"17766";"12430";"9228";"11311";"5527";"3523";"1427";"834"
"Pará";"Mulheres";"Indígena";"1876";"623";"1252";"8575";"6955";"1087";"1053";"929";"985";"836";"783";"641";"640";"1620";"517";"361";"362";"380";"1517";"693";"824";"2088";"2026";"551";"513";"313";"258";"188";"116";"48";"39";"62";"38";"2";"21";"-";"1278";"261";"1018";"2581";"2420";"778";"531";"454";"264";"198";"106";"55";"34";"161";"83";"67";"-";"10";"77";"2";"75";"1077";"987";"143";"211";"181";"203";"75";"53";"81";"40";"90";"61";"25";"3";"1"
"Amapá";"Homens";"Branca";"1591";"490";"1101";"9513";"7773";"1206";"952";"767";"1014";"1079";"878";"920";"958";"1741";"468";"425";"379";"469";"2532";"1136";"1396";"4839";"4453";"844";"803";"622";"670";"507";"367";"393";"247";"385";"152";"132";"78";"23";"5730";"1119";"4611";"12907";"12161";"2744";"1783";"2198";"1643";"1502";"954";"914";"423";"746";"323";"308";"31";"84";"556";"51";"505";"8295";"7827";"1376";"1837";"1183";"1255";"722";"623";"436";"394";"468";"210";"165";"75";"17"
"Amapá";"Homens";"Preta";"1205";"490";"714";"11239";"8964";"805";"961";"976";"1194";"1268";"1438";"1282";"1040";"2276";"837";"592";"317";"529";"1819";"718";"1100";"4067";"3902";"700";"640";"664";"499";"613";"429";"213";"144";"165";"93";"40";"31";"-";"2967";"501";"2466";"9322";"8997";"1751";"1668";"1719";"1267";"963";"804";"509";"316";"325";"130";"98";"92";"5";"396";"-";"396";"4794";"4649";"697";"631";"1107";"716";"480";"468";"381";"168";"145";"110";"35";"-";"-"
"Amapá";"Homens";"Amarela";"-";"-";"-";"167";"82";"-";"-";"25";"12";"8";"37";"-";"-";"85";"10";"51";"-";"24";"-";"-";"-";"19";"19";"-";"3";"5";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"47";"21";"26";"22";"13";"-";"-";"-";"13";"-";"-";"-";"-";"9";"9";"-";"-";"-";"-";"-";"-";"24";"24";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-"
"Amapá";"Homens";"Parda";"6708";"1830";"4879";"46119";"37157";"5031";"4459";"4436";"4631";"4993";"5112";"4523";"3971";"8962";"3111";"2300";"1684";"1866";"8231";"3448";"4783";"18539";"17392";"3882";"3361";"2808";"2096";"1805";"1700";"934";"807";"1147";"586";"265";"143";"153";"14574";"3329";"11245";"42424";"40613";"8741";"7942";"7131";"6305";"4069";"3038";"2038";"1349";"1812";"971";"550";"211";"80";"1331";"19";"1312";"19430";"18669";"2834";"3214";"3552";"3503";"2473";"1528";"875";"692";"760";"508";"121";"88";"43"
"Amapá";"Homens";"Indígena";"277";"86";"191";"908";"776";"96";"84";"69";"134";"120";"79";"111";"81";"132";"46";"48";"19";"19";"236";"94";"142";"346";"341";"109";"79";"40";"32";"54";"9";"-";"19";"5";"-";"5";"-";"-";"306";"43";"263";"765";"764";"164";"199";"145";"95";"82";"24";"40";"16";"2";"2";"-";"-";"-";"-";"-";"-";"259";"230";"38";"51";"35";"28";"37";"28";"-";"13";"29";"29";"-";"-";"-"
"Amapá";"Mulheres";"Branca";"1161";"298";"863";"9758";"6752";"629";"584";"728";"1064";"1003";"1034";"709";"1001";"3006";"821";"691";"631";"863";"2307";"1140";"1166";"4475";"3938";"809";"691";"709";"417";"325";"397";"343";"246";"538";"186";"188";"36";"128";"6223";"1655";"4568";"15152";"14261";"3232";"2620";"2246";"1986";"1533";"1107";"924";"614";"891";"339";"345";"85";"122";"1122";"32";"1090";"14218";"13449";"2412";"2396";"2323";"1988";"1535";"1447";"768";"580";"770";"393";"133";"88";"157"
"Amapá";"Mulheres";"Preta";"783";"150";"633";"6778";"5141";"291";"489";"659";"657";"626";"906";"623";"891";"1637";"506";"422";"225";"485";"1293";"554";"739";"2908";"2547";"634";"383";"377";"278";"319";"243";"237";"75";"361";"128";"131";"69";"33";"2750";"684";"2067";"8624";"8301";"1857";"1378";"1420";"1121";"936";"771";"472";"347";"323";"181";"83";"40";"19";"525";"-";"525";"6254";"6054";"877";"784";"988";"1103";"1000";"648";"469";"186";"200";"56";"54";"74";"16"
"Amapá";"Mulheres";"Amarela";"63";"-";"63";"11";"11";"6";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"30";"7";"23";"44";"43";"-";"25";"4";"11";"3";"-";"-";"-";"1";"1";"-";"-";"-";"5";"-";"5";"150";"150";"42";"9";"26";"30";"9";"6";"19";"10";"-";"-";"-";"-";"-";"-";"-";"-";"61";"61";"-";"-";"-";"17";"25";"-";"19";"-";"-";"-";"-";"-";"-"
"Amapá";"Mulheres";"Parda";"4710";"1301";"3408";"38641";"29755";"3035";"3262";"3683";"4100";"4320";"3708";"4076";"3571";"8886";"2987";"2048";"1759";"2092";"7830";"3712";"4118";"16975";"15829";"3980";"2627";"2422";"2105";"1836";"1304";"907";"649";"1146";"586";"254";"99";"207";"16694";"3798";"12896";"48224";"46173";"10033";"8868";"7950";"6850";"5083";"3509";"2177";"1704";"2052";"1138";"512";"297";"105";"2226";"80";"2146";"29541";"28362";"4087";"5164";"5493";"4673";"3193";"2604";"2081";"1069";"1179";"700";"232";"154";"92"
"Amapá";"Mulheres";"Indígena";"265";"102";"163";"1039";"934";"144";"102";"138";"147";"131";"113";"95";"65";"105";"42";"30";"11";"21";"236";"94";"142";"249";"248";"80";"67";"29";"19";"29";"19";"5";"-";"1";"-";"1";"-";"-";"247";"25";"222";"533";"514";"182";"135";"89";"39";"56";"8";"2";"3";"19";"-";"19";"-";"-";"4";"-";"4";"154";"154";"7";"51";"36";"46";"7";"4";"2";"-";"-";"-";"-";"-";"-"
"Tocantins";"Homens";"Branca";"1938";"608";"1331";"35988";"23892";"1234";"1461";"2193";"3447";"3704";"3829";"4211";"3814";"12096";"3309";"3035";"2495";"3256";"4071";"2117";"1954";"12723";"11256";"1822";"1514";"1623";"1791";"1321";"1246";"1097";"842";"1467";"721";"414";"187";"145";"11150";"2814";"8336";"33067";"30601";"5551";"5123";"4981";"4784";"3844";"2444";"2272";"1602";"2465";"1041";"714";"391";"319";"1244";"72";"1172";"21290";"19458";"2980";"3186";"3420";"3119";"2105";"1746";"1537";"1365";"1831";"904";"542";"188";"198"
"Tocantins";"Homens";"Preta";"1972";"539";"1433";"36259";"26791";"1732";"2233";"2871";"3639";"4149";"4535";"4131";"3502";"9468";"3055";"2509";"1819";"2085";"3918";"1552";"2366";"10228";"9744";"2032";"1749";"1760";"1337";"1071";"784";"628";"384";"484";"237";"129";"82";"35";"6915";"1481";"5433";"20554";"20167";"4552";"3946";"3587";"2987";"2282";"1446";"897";"469";"387";"197";"87";"72";"32";"537";"39";"498";"6543";"6338";"1114";"1124";"1156";"1211";"842";"422";"337";"131";"205";"107";"55";"41";"3"
"Tocantins";"Homens";"Amarela";"19";"-";"19";"343";"254";"23";"14";"25";"47";"8";"46";"32";"58";"89";"43";"16";"14";"16";"36";"28";"8";"110";"86";"10";"18";"31";"4";"3";"14";"2";"3";"24";"14";"10";"-";"-";"109";"-";"109";"351";"310";"31";"78";"65";"39";"50";"10";"18";"19";"41";"-";"31";"-";"10";"10";"-";"10";"257";"232";"31";"13";"35";"41";"32";"36";"21";"23";"25";"11";"4";"9";"-"
"Tocantins";"Homens";"Parda";"6521";"2048";"4473";"118298";"87640";"5430";"7204";"10145";"12681";"13380";"13693";"13429";"11678";"30659";"9939";"8296";"5368";"7056";"14888";"6119";"8769";"38332";"36030";"7428";"6431";"6421";"5280";"3826";"2910";"2169";"1565";"2302";"1181";"561";"349";"211";"29329";"6815";"22514";"84575";"81675";"18155";"15550";"14446";"12195";"8853";"5971";"3894";"2611";"2901";"1576";"806";"252";"267";"2604";"152";"2452";"30670";"29493";"5342";"5818";"5015";"4211";"3713";"2437";"1802";"1155";"1177";"647";"317";"174";"39"
"Tocantins";"Homens";"Indígena";"237";"85";"152";"1298";"1008";"160";"97";"113";"151";"135";"114";"107";"130";"290";"76";"72";"56";"87";"412";"172";"240";"595";"567";"158";"116";"82";"88";"38";"33";"26";"28";"27";"16";"-";"4";"7";"569";"104";"465";"1385";"1358";"431";"350";"227";"160";"87";"44";"40";"18";"27";"14";"11";"1";"1";"10";"-";"10";"316";"311";"32";"82";"65";"50";"41";"13";"23";"5";"5";"1";"-";"1";"3"
"Tocantins";"Mulheres";"Branca";"845";"247";"599";"28922";"16417";"769";"922";"1365";"2162";"2397";"2651";"3109";"3042";"12505";"3262";"3088";"2544";"3612";"2685";"1329";"1356";"9706";"8289";"1225";"1045";"1228";"1147";"917";"1012";"948";"767";"1417";"667";"295";"240";"215";"13160";"3693";"9467";"33365";"31222";"5586";"5401";"4805";"4690";"3637";"2907";"2398";"1799";"2143";"933";"655";"343";"211";"2020";"117";"1903";"35343";"33331";"4895";"5100";"5600";"5376";"4572";"3528";"2719";"1542";"2011";"1025";"593";"204";"189"
"Tocantins";"Mulheres";"Preta";"1110";"246";"864";"24747";"16771";"728";"1060";"1679";"2348";"2472";"2781";"2895";"2808";"7977";"2373";"2084";"1486";"2034";"2282";"785";"1497";"7085";"6631";"1301";"1074";"1055";"1044";"687";"579";"589";"303";"453";"193";"156";"52";"52";"7023";"1580";"5442";"19344";"18740";"4112";"3617";"3311";"2769";"2111";"1306";"899";"615";"604";"264";"196";"76";"68";"695";"93";"602";"11591";"11257";"1981";"2083";"1944";"1767";"1500";"922";"686";"373";"333";"219";"85";"16";"12"
"Tocantins";"Mulheres";"Amarela";"33";"18";"15";"357";"216";"14";"11";"17";"22";"34";"35";"34";"50";"141";"43";"34";"27";"37";"51";"15";"36";"130";"111";"22";"52";"8";"14";"10";"-";"3";"3";"19";"10";"9";"-";"-";"205";"84";"120";"507";"458";"66";"112";"74";"94";"51";"35";"25";"2";"48";"18";"-";"-";"30";"46";"-";"46";"342";"310";"70";"28";"38";"49";"38";"26";"27";"34";"32";"18";"10";"4";"-"
"Tocantins";"Mulheres";"Parda";"4183";"1116";"3066";"94869";"66183";"3648";"5468";"7302";"8933";"9718";"10200";"10710";"10205";"28686";"9595";"7102";"5377";"6611";"11373";"4955";"6418";"33827";"31368";"5700";"5483";"5165";"4444";"3547";"2620";"2431";"1979";"2459";"1097";"745";"316";"302";"34579";"9101";"25477";"97098";"93821";"19903";"17859";"17109";"13888";"10039";"7152";"4839";"3033";"3276";"1873";"823";"327";"254";"4063";"218";"3845";"58555";"56303";"9091";"8844";"9577";"8981";"7191";"6017";"4114";"2488";"2252";"1231";"655";"223";"142"
"Tocantins";"Mulheres";"Indígena";"317";"105";"211";"1924";"1543";"165";"204";"223";"274";"202";"167";"144";"162";"381";"80";"83";"85";"133";"423";"182";"240";"468";"457";"155";"103";"73";"57";"24";"20";"3";"23";"11";"11";"-";"-";"-";"515";"134";"380";"969";"946";"314";"265";"144";"77";"58";"54";"27";"6";"23";"14";"4";"-";"6";"1";"-";"1";"186";"181";"14";"63";"31";"20";"20";"23";"6";"6";"5";"-";"1";"4";"-"
"Maranhão";"Homens";"Branca";"10468";"3124";"7344";"155220";"113430";"8112";"10403";"14853";"18143";"17186";"16662";"15241";"12830";"41789";"11733";"10839";"8218";"10999";"19467";"8405";"11062";"48254";"44229";"8076";"7777";"7387";"6408";"4656";"3978";"3490";"2458";"4026";"1748";"1153";"471";"653";"41550";"9877";"31673";"113198";"105797";"22470";"19956";"18123";"15355";"10045";"8217";"6285";"5345";"7400";"3464";"1858";"1201";"878";"3243";"154";"3089";"49517";"44748";"7408";"7926";"8617";"7038";"4522";"3874";"3020";"2344";"4769";"1830";"1323";"901";"715"
"Maranhão";"Homens";"Preta";"9121";"2437";"6684";"160230";"119946";"8347";"11157";"14198";"17736";"18263";"17457";"17259";"15529";"40284";"13630";"10779";"7111";"8763";"15680";"6426";"9254";"40470";"38328";"7839";"7476";"6994";"4974";"3941";"3102";"2169";"1834";"2142";"1206";"468";"233";"235";"24027";"5002";"19025";"82095";"79040";"17174";"15539";"14700";"11543";"7848";"5567";"3876";"2793";"3055";"1504";"800";"350";"401";"1204";"46";"1159";"20896";"19802";"2792";"3765";"4115";"3153";"2019";"1669";"1341";"949";"1094";"551";"322";"127";"93"
"Maranhão";"Homens";"Amarela";"75";"2";"73";"716";"580";"39";"115";"89";"45";"72";"41";"98";"82";"136";"15";"40";"47";"33";"88";"60";"28";"310";"294";"45";"72";"23";"72";"21";"-";"54";"8";"17";"-";"9";"8";"-";"192";"89";"103";"571";"508";"94";"130";"101";"104";"7";"11";"19";"41";"62";"37";"-";"25";"-";"4";"-";"4";"106";"106";"22";"13";"-";"19";"11";"19";"23";"-";"-";"-";"-";"-";"-"
"Maranhão";"Homens";"Parda";"49515";"14291";"35224";"629052";"493762";"40272";"52334";"68266";"77330";"71287";"68412";"61277";"54584";"135290";"45324";"36045";"24723";"29199";"86304";"36998";"49306";"177426";"168089";"37124";"34026";"31218";"22955";"15673";"11229";"9409";"6455";"9338";"4576";"2453";"1312";"997";"134733";"32193";"102540";"326343";"314216";"77217";"64976";"58824";"43872";"28290";"18280";"13251";"9505";"12127";"6327";"3406";"1416";"978";"6048";"326";"5722";"79879";"75163";"13537";"13868";"14495";"12545";"8351";"5655";"3574";"3137";"4716";"2243";"1525";"555";"394"
"Maranhão";"Homens";"Indígena";"2048";"699";"1349";"6408";"5330";"960";"839";"842";"791";"587";"521";"452";"338";"1078";"201";"193";"224";"460";"1109";"380";"729";"1390";"1359";"434";"273";"238";"150";"129";"57";"59";"19";"30";"15";"7";"2";"7";"719";"92";"627";"1780";"1702";"449";"463";"310";"178";"97";"66";"78";"63";"78";"17";"39";"8";"15";"17";"-";"17";"364";"326";"21";"62";"81";"54";"62";"21";"20";"4";"38";"38";"-";"-";"-"
"Maranhão";"Mulheres";"Branca";"5950";"1510";"4440";"146211";"94592";"5004";"7289";"10991";"13780";"13877";"14202";"14842";"14606";"51619";"13206";"12555";"9758";"16101";"15972";"7348";"8624";"50442";"44822";"7248";"6782";"6987";"6560";"5384";"4667";"4395";"2799";"5620";"2230";"1345";"685";"1360";"50058";"12912";"37145";"139634";"128321";"26268";"22376";"20985";"18725";"14289";"11327";"7925";"6427";"11312";"4783";"2873";"1828";"1828";"5865";"369";"5495";"88844";"81026";"13485";"14005";"13553";"13115";"9228";"7626";"5656";"4358";"7819";"3626";"1952";"1052";"1189"
"Maranhão";"Mulheres";"Preta";"4458";"1342";"3115";"132241";"91172";"4445";"6451";"9492";"12552";"13499";"14164";"15583";"14987";"41070";"13045";"11218";"6806";"10001";"11715";"4677";"7038";"37362";"34619";"5967";"5939";"5699";"5169";"4047";"3287";"2866";"1647";"2743";"1336";"631";"442";"334";"27712";"6420";"21292";"85930";"81679";"17346";"16276";"15460";"11009";"8274";"6068";"4332";"2914";"4251";"1866";"1209";"519";"656";"1963";"61";"1902";"35883";"33661";"4962";"5823";"6097";"5302";"4271";"3115";"2520";"1571";"2221";"1088";"625";"337";"171"
"Maranhão";"Mulheres";"Amarela";"58";"19";"39";"829";"635";"48";"61";"138";"47";"46";"101";"94";"100";"194";"64";"71";"34";"25";"119";"45";"74";"345";"336";"58";"43";"80";"33";"46";"30";"17";"28";"9";"-";"-";"9";"-";"311";"113";"198";"934";"905";"171";"157";"224";"211";"69";"60";"5";"7";"29";"15";"14";"-";"-";"-";"-";"-";"525";"491";"121";"55";"134";"44";"48";"41";"24";"24";"34";"6";"18";"10";"-"
"Maranhão";"Mulheres";"Parda";"30196";"8450";"21746";"560563";"417072";"26796";"39791";"54714";"62193";"58479";"59284";"61956";"53859";"143491";"46560";"36682";"25882";"34368";"73210";"30230";"42980";"183807";"174093";"35679";"33787";"31285";"23838";"16965";"13763";"10946";"7829";"9713";"4416";"2231";"1446";"1620";"161626";"41786";"119840";"414566";"398490";"91708";"83654";"74948";"55176";"36157";"25599";"18402";"12846";"16076";"7699";"4544";"2064";"1771";"12189";"702";"11487";"161485";"152335";"24051";"26295";"28758";"25287";"17453";"13721";"10239";"6531";"9149";"4679";"2471";"1242";"757"
"Maranhão";"Mulheres";"Indígena";"2007";"603";"1405";"7219";"5846";"989";"1009";"960";"915";"660";"522";"416";"376";"1373";"280";"238";"343";"513";"957";"351";"606";"1133";"1042";"255";"243";"121";"117";"81";"39";"118";"67";"92";"54";"36";"1";"-";"722";"132";"590";"1806";"1733";"408";"369";"342";"148";"231";"111";"37";"87";"72";"33";"15";"-";"24";"61";"-";"61";"480";"436";"32";"56";"98";"71";"90";"60";"22";"6";"44";"16";"28";"-";"-"
"Piauí";"Homens";"Branca";"5988";"1572";"4416";"99544";"72079";"5224";"6430";"8369";"10995";"11085";"10976";"10092";"8907";"27465";"7131";"7119";"5434";"7781";"10171";"4607";"5563";"25676";"23238";"4609";"3981";"3640";"2948";"2695";"1980";"2022";"1362";"2438";"932";"651";"312";"544";"20518";"4598";"15920";"51728";"47597";"11166";"8602";"8200";"5571";"4245";"3804";"3418";"2590";"4132";"1836";"1075";"677";"543";"1714";"54";"1660";"34527";"31275";"5415";"6047";"5744";"4745";"3238";"2125";"2312";"1648";"3252";"1434";"933";"553";"332"
"Piauí";"Homens";"Preta";"4829";"1461";"3368";"88320";"67894";"4266";"5751";"7850";"10791";"10605";"10265";"9751";"8616";"20426";"6652";"5786";"3525";"4462";"7642";"2811";"4831";"18766";"17917";"3320";"3742";"3035";"2497";"1649";"1591";"1189";"894";"849";"422";"207";"132";"88";"11779";"1991";"9788";"31139";"30010";"7086";"5704";"5959";"4294";"2463";"1962";"1483";"1059";"1129";"673";"251";"122";"82";"590";"-";"590";"10977";"10486";"2235";"1889";"2003";"1536";"1330";"660";"492";"340";"492";"237";"185";"52";"18"
"Piauí";"Homens";"Amarela";"8";"3";"5";"470";"404";"5";"53";"45";"65";"66";"61";"49";"60";"66";"30";"19";"9";"7";"89";"24";"65";"77";"70";"6";"-";"10";"7";"14";"33";"-";"-";"6";"-";"6";"-";"-";"78";"15";"63";"123";"123";"32";"20";"25";"5";"3";"3";"2";"34";"-";"-";"-";"-";"-";"7";"-";"7";"138";"138";"8";"26";"-";"14";"39";"8";"-";"43";"-";"-";"-";"-";"-"
"Piauí";"Homens";"Parda";"22243";"6300";"15943";"349420";"268322";"19310";"24743";"35479";"42346";"41479";"37969";"35838";"31159";"81097";"25566";"22010";"15686";"17835";"33947";"14623";"19324";"82873";"77744";"15312";"14928";"14169";"10406";"7168";"6118";"5754";"3890";"5129";"2596";"1335";"610";"588";"57653";"13379";"44273";"138838";"132080";"31924";"27108";"23282";"17938";"11985";"8509";"6901";"4434";"6758";"3523";"1761";"868";"607";"3799";"195";"3603";"56464";"52818";"10022";"10477";"10042";"7812";"5394";"3904";"2955";"2212";"3646";"1605";"1428";"429";"185"
"Piauí";"Homens";"Indígena";"120";"46";"75";"1122";"899";"81";"87";"80";"116";"163";"124";"128";"120";"223";"85";"74";"17";"47";"86";"23";"63";"249";"232";"24";"57";"37";"61";"6";"15";"12";"20";"17";"-";"17";"-";"-";"155";"15";"140";"222";"178";"23";"39";"26";"60";"10";"9";"5";"7";"44";"17";"7";"20";"-";"16";"-";"16";"139";"127";"31";"23";"43";"4";"3";"24";"-";"-";"12";"12";"-";"-";"-"
"Piauí";"Mulheres";"Branca";"3037";"817";"2220";"92165";"58011";"2783";"3820";"5958";"8354";"9265";"9280";"9532";"9019";"34154";"7914";"8821";"6331";"11088";"8146";"3905";"4241";"25793";"22078";"3152";"2986";"3863";"3354";"2473";"2321";"2336";"1594";"3714";"1145";"861";"642";"1067";"25559";"7019";"18540";"64599";"58520";"11885";"9702";"9406";"8514";"6284";"5563";"3677";"3489";"6080";"2415";"1522";"1077";"1065";"3303";"150";"3153";"60011";"54467";"8869";"10217";"9036";"8110";"5935";"4411";"4436";"3453";"5545";"2500";"1347";"919";"778"
"Piauí";"Mulheres";"Preta";"1993";"533";"1459";"68375";"46206";"2314";"2429";"4722";"6043";"7016";"7312";"8192";"8178";"22170";"6637";"5784";"4200";"5548";"5073";"2032";"3040";"16470";"15358";"2546";"2156";"2499";"2385";"2069";"1478";"1287";"939";"1111";"399";"325";"184";"204";"12218";"2669";"9549";"34668";"33290";"6442";"6241";"6164";"4683";"3829";"2964";"1804";"1163";"1378";"783";"388";"167";"41";"1108";"69";"1039";"18353";"17308";"3055";"3068";"2905";"2631";"1666";"1791";"1236";"956";"1045";"536";"341";"122";"46"
"Piauí";"Mulheres";"Amarela";"14";"5";"9";"542";"331";"23";"29";"22";"41";"121";"31";"29";"34";"211";"69";"58";"31";"53";"64";"31";"33";"98";"85";"-";"23";"18";"30";"-";"14";"-";"-";"13";"-";"13";"-";"-";"231";"64";"167";"258";"220";"40";"77";"16";"38";"6";"34";"3";"7";"38";"7";"27";"3";"-";"22";"3";"19";"244";"228";"41";"57";"15";"70";"22";"3";"-";"20";"16";"-";"6";"10";"-"
"Piauí";"Mulheres";"Parda";"13239";"3190";"10048";"315366";"222910";"12769";"18028";"25285";"32891";"33550";"33517";"35925";"30945";"92456";"27497";"24285";"17953";"22721";"28988";"12123";"16865";"88353";"82110";"14069";"14284";"14375";"11277";"9478";"6984";"6795";"4847";"6243";"2712";"1718";"843";"970";"68497";"16609";"51888";"187502";"177800";"37753";"34533";"33183";"24989";"17622";"12836";"10288";"6597";"9702";"4883";"2893";"962";"965";"6616";"280";"6336";"106722";"99418";"15907";"18653";"17679";"14894";"10389";"8603";"7505";"5788";"7305";"3928";"2040";"881";"455"
"Piauí";"Mulheres";"Indígena";"115";"25";"90";"1173";"803";"37";"89";"124";"185";"67";"81";"115";"105";"369";"73";"124";"65";"106";"124";"74";"50";"270";"259";"21";"21";"41";"39";"5";"59";"16";"57";"11";"11";"-";"-";"-";"95";"18";"76";"360";"342";"48";"57";"115";"53";"7";"42";"7";"12";"18";"18";"-";"-";"-";"43";"-";"43";"162";"111";"4";"24";"5";"13";"13";"11";"20";"20";"51";"20";"21";"10";"-"
"Ceará";"Homens";"Branca";"12937";"2981";"9957";"278233";"193798";"12456";"15417";"18605";"26256";"30026";"32465";"32297";"26277";"84435";"23008";"21975";"16804";"22648";"27883";"11871";"16013";"88707";"78917";"14030";"13304";"13261";"10110";"8282";"7948";"7134";"4848";"9790";"3723";"2731";"1812";"1524";"80758";"20833";"59926";"214096";"197570";"43438";"35747";"34124";"27887";"18941";"14811";"12587";"10036";"16525";"7182";"4213";"2676";"2454";"6623";"339";"6284";"116247";"101442";"16160";"18858";"18216";"15783";"10293";"8289";"7633";"6209";"14805";"5250";"4305";"2514";"2736"
"Ceará";"Homens";"Preta";"5796";"1305";"4491";"130243";"98640";"6266";"7520";"10543";"13180";"15442";"16370";"15566";"13753";"31603";"10200";"8771";"5771";"6861";"10230";"3430";"6800";"33531";"31788";"6281";"5806";"5012";"4256";"3470";"2719";"2642";"1602";"1743";"908";"441";"186";"207";"20105";"4413";"15693";"61565";"59504";"13564";"11503";"10589";"8948";"5622";"4212";"2978";"2089";"2061";"1106";"392";"302";"261";"1124";"52";"1072";"15475";"14662";"2796";"2959";"2555";"2208";"1687";"956";"875";"627";"813";"397";"268";"52";"96"
"Ceará";"Homens";"Amarela";"109";"12";"97";"1443";"1028";"48";"40";"82";"234";"152";"128";"195";"149";"414";"100";"139";"59";"117";"171";"106";"66";"486";"486";"122";"121";"28";"74";"64";"32";"9";"36";"-";"-";"-";"-";"-";"253";"49";"204";"924";"891";"251";"293";"145";"103";"-";"22";"19";"59";"33";"32";"-";"1";"-";"26";"-";"26";"546";"442";"32";"77";"43";"66";"75";"99";"34";"15";"104";"63";"41";"-";"-"
"Ceará";"Homens";"Parda";"42652";"9664";"32987";"819570";"628738";"44950";"58901";"70085";"90904";"97557";"97526";"92993";"75823";"190832";"59863";"51454";"35129";"44385";"80562";"29878";"50684";"252694";"238185";"50660";"47714";"41896";"31189";"22072";"18478";"15993";"10183";"14509";"6664";"3731";"2156";"1958";"182898";"45277";"137621";"492082";"473626";"114373";"94251";"88315";"68936";"41279";"29438";"22254";"14780";"18457";"9263";"4989";"2349";"1856";"8900";"442";"8459";"135032";"125615";"23078";"23216";"23264";"18926";"13211";"9630";"7784";"6506";"9417";"4446";"2693";"1384";"895"
"Ceará";"Homens";"Indígena";"367";"47";"320";"6177";"4708";"394";"455";"585";"594";"754";"555";"727";"644";"1469";"394";"455";"344";"276";"579";"232";"346";"2067";"1955";"452";"387";"241";"288";"193";"229";"59";"105";"112";"42";"42";"10";"17";"1252";"269";"983";"3209";"3192";"938";"747";"549";"376";"236";"131";"154";"61";"17";"5";"13";"-";"-";"34";"7";"27";"696";"664";"133";"101";"147";"40";"124";"27";"70";"22";"33";"-";"33";"-";"-"
