"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Norte";"Homens";"Branca";"31195";"8814";"22380";"349873";"264136";"22265";"24982";"31414";"37961";"37456";"38962";"36654";"34443";"85737";"27342";"22016";"16606";"19773";"55657";"24166";"31491";"131148";"118765";"22785";"19208";"17866";"16059";"13237";"11759";"10150";"7700";"12383";"5690";"3474";"1673";"1547";"107676";"25639";"82037";"304389";"285826";"61904";"50060";"47407";"41372";"30511";"23182";"17707";"13684";"18563";"8137";"5513";"2824";"2089";"10803";"672";"10132";"176391";"161552";"25195";"29556";"28022";"25550";"17813";"14907";"11606";"8902";"14839";"6319";"4475";"2380";"1665"
"Norte";"Homens";"Preta";"20947";"6041";"14905";"278625";"220141";"18164";"21231";"26732";"33938";"32926";"32809";"29135";"25207";"58483";"21170";"15363";"10381";"11569";"33086";"13110";"19976";"83915";"79184";"16578";"13298";"13602";"11306";"8831";"6711";"5230";"3627";"4731";"2267";"1424";"571";"470";"46290";"9016";"37274";"155591";"150420";"33103";"28813";"26576";"22103";"16276";"11104";"7328";"5117";"5170";"2889";"1119";"638";"525";"2802";"109";"2693";"52870";"50543";"8153";"9467";"9117";"8057";"6083";"4411";"3296";"1958";"2326";"1142";"783";"198";"204"
"Norte";"Homens";"Amarela";"190";"64";"126";"2584";"1785";"82";"187";"312";"328";"199";"227";"146";"304";"800";"246";"256";"71";"226";"385";"163";"222";"1082";"843";"179";"152";"112";"65";"100";"82";"67";"86";"239";"89";"53";"52";"45";"834";"248";"586";"2689";"2268";"524";"403";"300";"320";"264";"211";"120";"126";"421";"149";"128";"52";"93";"72";"-";"72";"3037";"2587";"305";"230";"606";"372";"397";"248";"228";"201";"450";"242";"68";"87";"53"
"Norte";"Homens";"Parda";"145072";"40763";"104308";"1431429";"1148200";"111483";"125535";"149448";"169503";"164316";"161481";"142629";"123804";"283229";"104121";"75462";"49642";"54004";"222835";"93452";"129384";"497266";"468678";"102391";"84604";"79425";"65251";"48382";"37941";"28677";"22007";"28588";"14259";"7734";"3581";"3014";"334925";"73241";"261685";"986176";"949423";"214786";"183862";"169059";"140195";"95190";"66554";"46809";"32968";"36754";"19562";"10022";"4341";"2829";"22467";"1170";"21297";"315256";"299870";"48052";"52645";"54370";"49243";"37332";"26338";"19176";"12716";"15386";"8035";"4147";"2008";"1196"
"Norte";"Homens";"Indígena";"11700";"3972";"7728";"57392";"47212";"6431";"6313";"6268";"6645";"6293";"6016";"4916";"4330";"10179";"3444";"2586";"1773";"2377";"12063";"5023";"7040";"15561";"15008";"4264";"2969";"2390";"1997";"1384";"921";"605";"478";"553";"280";"196";"35";"42";"13432";"2563";"10868";"29353";"28948";"9084";"6577";"5320";"3348";"2192";"1232";"748";"448";"405";"216";"124";"46";"19";"388";"40";"348";"6296";"6042";"566";"1128";"1241";"1083";"881";"629";"307";"207";"253";"130";"84";"36";"4"
"Norte";"Mulheres";"Branca";"21361";"6161";"15200";"318966";"217482";"14801";"18806";"24291";"29298";"31064";"32395";"33665";"33161";"101484";"29929";"24559";"19544";"27451";"46846";"21692";"25154";"128112";"112605";"19351";"15934";"16918";"16369";"13578";"11975";"9812";"8668";"15507";"5675";"4005";"2543";"3284";"127165";"33017";"94148";"354633";"328442";"66702";"56018";"53708";"48651";"37150";"27992";"21403";"16817";"26192";"10850";"7446";"3786";"4110";"18338";"1154";"17184";"275593";"257300";"40250";"43949";"45747";"41659";"30845";"24643";"18095";"12111";"18293";"8033";"5113";"2762";"2384"
"Norte";"Mulheres";"Preta";"12305";"2957";"9348";"181936";"132344";"9078";"11660";"14748";"18992";"18765";"20285";"19271";"19546";"49592";"16261";"12762";"8832";"11738";"21756";"8793";"12963";"63529";"59079";"11674";"10019";"9826";"8113";"6383";"5281";"4754";"3028";"4450";"2139";"1196";"555";"560";"44417";"10172";"34245";"141201";"135372";"29462";"25205";"23485";"19779";"15242";"10384";"7144";"4671";"5829";"3062";"1460";"650";"657";"4416";"224";"4191";"72824";"69566";"11384";"12068";"12277";"11054";"9227";"6289";"4469";"2797";"3258";"1822";"694";"417";"325"
"Norte";"Mulheres";"Amarela";"242";"24";"218";"2382";"1593";"155";"139";"251";"153";"182";"278";"218";"219";"789";"195";"202";"159";"232";"473";"143";"330";"1612";"1412";"255";"184";"263";"138";"214";"101";"139";"118";"200";"115";"9";"5";"71";"1204";"369";"835";"3964";"3390";"699";"733";"497";"540";"292";"236";"280";"112";"574";"178";"98";"130";"169";"233";"-";"233";"3451";"3107";"385";"506";"589";"532";"429";"299";"204";"164";"344";"160";"62";"69";"52"
"Norte";"Mulheres";"Parda";"99601";"26801";"72800";"1216785";"932007";"80376";"95987";"116940";"131740";"132377";"131297";"128523";"114766";"284778";"97405";"71898";"51767";"63708";"198968";"81835";"117133";"490846";"457128";"94205";"79563";"74699";"63753";"49282";"39302";"31983";"24340";"33718";"15374";"9056";"5121";"4168";"382536";"89843";"292693";"1150467";"1103556";"246068";"213419";"196682";"161374";"113704";"80219";"54340";"37751";"46911";"23929";"12611";"5711";"4660";"37230";"1962";"35268";"514954";"490696";"77254";"86035";"88224";"81882";"59120";"44979";"32242";"20959";"24259";"12385";"6896";"3106";"1871"
"Norte";"Mulheres";"Indígena";"11634";"3898";"7736";"61000";"50244";"7185";"7000";"7281";"7105";"6127";"5675";"5272";"4598";"10756";"3464";"2519";"2108";"2665";"10889";"4366";"6523";"13815";"13438";"4076";"2935";"2215";"1538";"1038";"742";"572";"322";"378";"194";"81";"49";"53";"13536";"3091";"10445";"26081";"25654";"7915";"6066";"4426";"3011";"1782";"1158";"853";"443";"427";"190";"182";"15";"40";"444";"47";"397";"7062";"6819";"1207";"1427";"1386";"1033";"700";"467";"350";"248";"242";"145";"65";"23";"9"
