"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Piauí";"70 a 79 anos";"61171";"68909";"7289";"13420";"164";"243";"80";"107";"14";"2";"794";"1243";"1770";"1024";"5";"-";"23";"26"
"Piauí";"80 anos ou mais";"28347";"37870";"3632";"6121";"70";"62";"13";"13";"-";"-";"319";"543";"731";"462";"-";"3";"6";"33"
"Ceará";"15 a 19 anos";"222357";"211014";"69090";"73079";"1604";"1283";"1556";"1511";"103";"135";"8926";"8187";"25850";"22897";"76";"78";"359";"383"
"Ceará";"20 a 24 anos";"234777";"227295";"70998";"80291";"1348";"1542";"1905";"1759";"84";"134";"9646";"9722";"32886";"27161";"140";"145";"271";"329"
"Ceará";"25 a 29 anos";"231044";"241179";"74680";"88942";"1274";"1929";"1894";"1684";"108";"104";"9505";"10089";"31380";"24112";"222";"215";"415";"438"
"Ceará";"30 a 39 anos";"461068";"483771";"141976";"177036";"3376";"4563";"3330";"3023";"213";"277";"16834";"20001";"48163";"35385";"281";"245";"602";"506"
"Ceará";"40 a 49 anos";"423782";"446978";"111961";"148017";"3607";"5486";"2222";"2146";"149";"153";"14505";"17504";"32988";"21797";"293";"297";"594";"600"
"Ceará";"50 a 59 anos";"352007";"384238";"77665";"115785";"3151";"4330";"1201";"1502";"110";"133";"10120";"13530";"21439";"11448";"134";"171";"391";"250"
"Ceará";"60 a 69 anos";"243514";"275919";"41146";"71744";"2421";"2424";"651";"715";"71";"54";"5784";"8024";"12622";"5651";"125";"188";"188";"187"
"Ceará";"70 a 79 anos";"146488";"177236";"21514";"39414";"823";"937";"378";"281";"37";"17";"3230";"4014";"5582";"2713";"58";"54";"182";"155"
"Ceará";"80 anos ou mais";"72260";"107282";"9696";"17832";"331";"594";"152";"180";"37";"25";"1418";"2490";"2274";"1325";"81";"32";"40";"102"
"Rio Grande do Norte";"15 a 19 anos";"79881";"74495";"25961";"27953";"436";"718";"378";"614";"-";"-";"3742";"3748";"13415";"11528";"41";"25";"154";"115"
"Rio Grande do Norte";"20 a 24 anos";"80738";"75764";"25732";"31271";"683";"712";"404";"629";"66";"27";"3762";"4294";"16629";"13382";"121";"6";"149";"163"
"Rio Grande do Norte";"25 a 29 anos";"78220";"79410";"25935";"32390";"724";"1014";"437";"523";"14";"43";"4240";"4905";"15454";"12366";"40";"-";"209";"130"
"Rio Grande do Norte";"30 a 39 anos";"165689";"172145";"50942";"67922";"1910";"2930";"911";"1036";"40";"113";"7893";"8638";"25507";"18428";"103";"65";"237";"146"
"Rio Grande do Norte";"40 a 49 anos";"155719";"161643";"44444";"61734";"2199";"3574";"860";"698";"38";"14";"6491";"7942";"18514";"12115";"37";"14";"243";"168"
"Rio Grande do Norte";"50 a 59 anos";"133366";"142987";"32290";"49124";"1805";"2902";"239";"569";"-";"23";"4310";"5392";"12150";"7136";"31";"23";"117";"119"
"Rio Grande do Norte";"60 a 69 anos";"93698";"105452";"15863";"29213";"1546";"1943";"142";"144";"15";"27";"2492";"3235";"7146";"3469";"30";"-";"104";"43"
"Rio Grande do Norte";"70 a 79 anos";"52647";"64962";"8137";"16901";"786";"833";"75";"76";"-";"14";"1137";"1509";"3561";"1318";"-";"-";"39";"101"
"Rio Grande do Norte";"80 anos ou mais";"25685";"41205";"4160";"7169";"161";"292";"18";"11";"5";"5";"492";"807";"1373";"635";"-";"-";"19";"14"
"Paraíba";"15 a 19 anos";"100368";"93875";"30994";"33106";"483";"571";"422";"721";"77";"183";"5152";"4669";"13596";"11876";"40";"2";"108";"148"
"Paraíba";"20 a 24 anos";"98776";"93711";"29070";"34865";"570";"896";"526";"634";"111";"101";"5047";"5614";"16398";"14039";"124";"-";"119";"109"
"Paraíba";"25 a 29 anos";"93189";"96326";"28917";"35474";"672";"1066";"684";"674";"120";"119";"5826";"5648";"15278";"11628";"53";"43";"108";"137"
"Paraíba";"30 a 39 anos";"197662";"206721";"56954";"77312";"1713";"2383";"1014";"1092";"201";"219";"10267";"10722";"25148";"17397";"163";"46";"204";"174"
"Paraíba";"40 a 49 anos";"190097";"196248";"53483";"74798";"1892";"2746";"766";"1024";"108";"91";"8849";"9810";"18307";"12474";"82";"29";"125";"140"
"Paraíba";"50 a 59 anos";"158327";"169504";"36527";"57597";"1470";"2297";"438";"591";"54";"83";"5529";"6859";"11719";"6963";"67";"9";"172";"151"
"Paraíba";"60 a 69 anos";"112940";"128922";"19349";"35130";"1182";"1385";"223";"277";"26";"47";"2927";"3868";"7310";"3621";"41";"25";"70";"59"
"Paraíba";"70 a 79 anos";"67999";"86430";"10273";"19162";"419";"604";"113";"178";"22";"25";"1396";"2285";"3042";"1695";"-";"-";"63";"33"
"Paraíba";"80 anos ou mais";"34312";"53139";"3912";"8946";"238";"381";"21";"37";"9";"15";"587";"835";"1250";"849";"-";"-";"28";"67"
"Pernambuco";"15 a 19 anos";"196695";"188156";"80509";"85541";"2276";"2417";"1729";"1548";"455";"412";"12233";"12363";"53590";"47096";"173";"70";"805";"518"
"Pernambuco";"20 a 24 anos";"197871";"193878";"77113";"92141";"1992";"2539";"1880";"2052";"449";"416";"15305";"13807";"60583";"51837";"132";"164";"1030";"493"
"Pernambuco";"25 a 29 anos";"180873";"189039";"72257";"94099";"2559";"3299";"2412";"2242";"530";"343";"15627";"15601";"54170";"44634";"152";"111";"907";"460"
"Pernambuco";"30 a 39 anos";"378484";"404173";"149192";"210643";"6491";"9688";"3777";"4149";"739";"681";"28458";"30154";"91688";"72152";"206";"142";"1326";"819"
"Pernambuco";"40 a 49 anos";"370749";"390059";"145192";"210681";"7319";"11967";"2788";"3545";"535";"540";"22613";"26448";"69577";"50479";"298";"165";"928";"774"
"Pernambuco";"50 a 59 anos";"299806";"331998";"104769";"171628";"6876";"11437";"1911";"2554";"365";"340";"15212";"19744";"45502";"29123";"110";"139";"600";"543"
"Pernambuco";"60 a 69 anos";"221790";"258168";"57834";"110339";"5418";"9182";"891";"1120";"207";"266";"8356";"12326";"26577";"14910";"46";"27";"316";"329"
"Pernambuco";"70 a 79 anos";"124620";"160063";"28730";"58816";"2113";"4455";"416";"622";"189";"99";"3956";"6419";"11265";"6679";"26";"31";"244";"220"
"Pernambuco";"80 anos ou mais";"55355";"90477";"12057";"26801";"919";"1779";"139";"165";"74";"61";"1433";"2925";"3414";"2962";"-";"9";"130";"56"
"Alagoas";"15 a 19 anos";"81634";"75504";"28492";"30791";"243";"510";"429";"416";"193";"199";"3001";"2927";"17417";"15856";"32";"65";"291";"247"
"Alagoas";"20 a 24 anos";"75302";"77827";"26695";"32124";"341";"596";"746";"898";"217";"196";"3250";"3084";"20471";"15982";"32";"65";"239";"277"
"Alagoas";"25 a 29 anos";"69031";"75303";"25441";"32716";"395";"740";"634";"775";"154";"136";"3108";"3577";"16342";"13769";"56";"19";"206";"168"
"Alagoas";"30 a 39 anos";"138268";"152515";"46022";"65688";"1303";"2111";"964";"1174";"291";"291";"5148";"6692";"25997";"20603";"126";"120";"405";"275"
"Alagoas";"40 a 49 anos";"135184";"145161";"42634";"63154";"1407";"2589";"939";"1019";"214";"230";"4429";"5717";"20976";"13982";"87";"45";"268";"288"
"Alagoas";"50 a 59 anos";"109514";"119843";"28974";"48684";"1062";"1642";"502";"564";"124";"163";"3397";"4633";"13067";"8144";"70";"74";"212";"162"
"Alagoas";"60 a 69 anos";"76436";"88338";"16457";"29256";"767";"1460";"210";"383";"80";"91";"1742";"2640";"7893";"4084";"11";"12";"149";"62"
"Alagoas";"70 a 79 anos";"42226";"52244";"7469";"14117";"315";"741";"101";"152";"52";"49";"745";"1328";"3477";"1858";"22";"-";"95";"61"
"Alagoas";"80 anos ou mais";"16656";"26412";"3155";"5531";"122";"110";"23";"86";"14";"15";"335";"628";"1113";"838";"-";"24";"39";"72"
"Sergipe";"15 a 19 anos";"56779";"54168";"15785";"17278";"416";"690";"563";"743";"13";"-";"2444";"2356";"11453";"9538";"18";"20";"173";"134"
"Sergipe";"20 a 24 anos";"55651";"57509";"14745";"17587";"420";"604";"1031";"1138";"10";"13";"2373";"2778";"13443";"11110";"5";"40";"156";"170"
"Sergipe";"25 a 29 anos";"53506";"58006";"13772";"18680";"591";"916";"1209";"1119";"5";"36";"2502";"2863";"12087";"9538";"27";"29";"139";"148"
"Sergipe";"30 a 39 anos";"109059";"120069";"26673";"38909";"1398";"2884";"1395";"1624";"14";"11";"4575";"5837";"19697";"14643";"62";"9";"222";"208"
"Sergipe";"40 a 49 anos";"103432";"114322";"25111";"36401";"1898";"2700";"936";"1714";"5";"1";"3774";"5673";"14989";"9964";"73";"26";"304";"136"
"Sergipe";"50 a 59 anos";"84703";"92413";"17023";"28047";"1147";"2570";"601";"981";"12";"1";"2875";"4407";"9297";"5773";"51";"7";"133";"62"
"Sergipe";"60 a 69 anos";"56560";"65025";"8800";"15923";"885";"1656";"225";"375";"1";"1";"1467";"2474";"5809";"3197";"3";"16";"77";"78"
"Sergipe";"70 a 79 anos";"30029";"37586";"4847";"8958";"358";"533";"83";"129";"1";"1";"881";"1148";"2498";"1569";"3";"12";"47";"60"
"Sergipe";"80 anos ou mais";"13224";"21112";"1602";"3928";"278";"370";"7";"63";"-";"-";"315";"600";"845";"617";"3";"10";"11";"52"
"Bahia";"15 a 19 anos";"295173";"274062";"115146";"127454";"2427";"2851";"4007";"5867";"326";"289";"22633";"23507";"101993";"92444";"511";"331";"1114";"862"
"Bahia";"20 a 24 anos";"285125";"276316";"107224";"133405";"2706";"3794";"6008";"6844";"270";"235";"22426";"26655";"111812";"99389";"730";"446";"1005";"1024"
"Bahia";"25 a 29 anos";"258180";"267537";"102597";"139185";"2756";"4280";"6465";"7583";"178";"218";"22245";"26160";"96553";"84738";"806";"540";"803";"613"
"Bahia";"30 a 39 anos";"570216";"598031";"219871";"318657";"7819";"13181";"11732";"14739";"466";"441";"44262";"58978";"171770";"142995";"1171";"916";"1412";"1235"
"Bahia";"40 a 49 anos";"602587";"594306";"214347";"308431";"8979";"17155";"10418";"12916";"322";"336";"42260";"59267";"143269";"107774";"837";"644";"1253";"795"
"Bahia";"50 a 59 anos";"498472";"491000";"146221";"239557";"8526";"14959";"6291";"8969";"269";"186";"31130";"44807";"87214";"57011";"365";"381";"976";"637"
"Bahia";"60 a 69 anos";"371762";"381126";"85503";"155384";"6415";"11949";"3454";"5550";"190";"170";"18235";"30818";"52628";"29705";"321";"222";"608";"519"
"Bahia";"70 a 79 anos";"215818";"241706";"45098";"84534";"2966";"4658";"1460";"2366";"86";"53";"9440";"14758";"24251";"13672";"246";"100";"248";"289"
"Bahia";"80 anos ou mais";"101808";"147707";"20375";"41826";"936";"2170";"447";"1327";"32";"25";"3731";"8054";"9423";"6854";"43";"49";"118";"212"
"Minas Gerais";"15 a 19 anos";"410606";"387115";"186529";"195945";"9427";"10349";"3215";"5016";"223";"312";"23558";"21988";"58243";"50052";"200";"104";"949";"664"
"Minas Gerais";"20 a 24 anos";"448002";"429143";"194893";"219231";"9814";"14254";"5186";"6675";"250";"243";"26299";"26553";"81099";"61084";"522";"397";"933";"579"
"Minas Gerais";"25 a 29 anos";"445723";"435160";"195541";"226114";"10733";"15697";"5865";"6366";"194";"200";"26837";"29482";"77579";"56223";"444";"240";"1009";"741"
"Minas Gerais";"30 a 39 anos";"929293";"928682";"383149";"458539";"27053";"38517";"9054";"11007";"419";"290";"54141";"59292";"125846";"88879";"870";"427";"1985";"1156"
"Minas Gerais";"40 a 49 anos";"944692";"948330";"342459";"428444";"30041";"45872";"6036";"8775";"175";"144";"48040";"55693";"94382";"64249";"777";"366";"1311";"823"
"Minas Gerais";"50 a 59 anos";"864638";"884236";"246989";"340521";"26267";"43019";"4364";"5167";"191";"112";"35413";"44299";"63117";"39326";"285";"199";"999";"740"
"Minas Gerais";"60 a 69 anos";"701030";"741907";"157978";"238725";"20719";"32535";"2057";"2915";"56";"84";"22925";"30450";"40439";"22107";"206";"163";"714";"518"
"Minas Gerais";"70 a 79 anos";"383174";"447886";"74350";"119877";"10077";"15324";"939";"960";"40";"24";"10304";"14376";"17837";"9699";"136";"69";"283";"337"
"Minas Gerais";"80 anos ou mais";"169822";"256657";"30855";"56678";"4056";"6789";"412";"291";"15";"10";"4188";"7433";"5946";"3942";"38";"52";"231";"144"
"Espírito Santo";"15 a 19 anos";"53731";"50094";"47660";"49138";"776";"657";"427";"721";"70";"75";"5640";"5181";"21504";"19756";"15";"62";"213";"122"
"Espírito Santo";"20 a 24 anos";"56199";"55908";"47101";"50456";"924";"870";"754";"928";"38";"72";"6076";"6095";"28084";"23114";"9";"75";"143";"220"
"Espírito Santo";"25 a 29 anos";"57302";"58751";"46196";"53112";"766";"1321";"888";"889";"51";"39";"5615";"6502";"27165";"20506";"25";"114";"150";"103"
"Espírito Santo";"30 a 39 anos";"131482";"133723";"101443";"121935";"1949";"2921";"1601";"1876";"143";"88";"12300";"13810";"45408";"34793";"157";"85";"368";"236"
"Espírito Santo";"40 a 49 anos";"133948";"136379";"95995";"116176";"2138";"3409";"920";"1195";"113";"79";"10602";"12468";"35996";"25613";"207";"105";"233";"226"
"Espírito Santo";"50 a 59 anos";"120477";"125682";"71421";"91108";"1832";"3127";"801";"1016";"13";"56";"6588";"7909";"22736";"14611";"39";"39";"227";"184"
"Espírito Santo";"60 a 69 anos";"102968";"109576";"46375";"66587";"1767";"2759";"438";"496";"56";"39";"4053";"5545";"13976";"7823";"64";"10";"145";"158"
"Espírito Santo";"70 a 79 anos";"52322";"61363";"20275";"31708";"1114";"1123";"74";"212";"24";"-";"2357";"2493";"5401";"2800";"-";"-";"71";"89"
"Espírito Santo";"80 anos ou mais";"22236";"34518";"8446";"15640";"494";"710";"54";"76";"-";"2";"556";"1596";"1872";"1384";"37";"21";"42";"48"
"Rio de Janeiro";"15 a 19 anos";"164875";"156387";"173518";"175443";"9560";"12269";"11247";"14624";"135";"50";"30276";"28340";"120912";"107842";"184";"160";"1251";"847"
"Rio de Janeiro";"20 a 24 anos";"184088";"176366";"173413";"193028";"12404";"15619";"14497";"21291";"220";"206";"33531";"33986";"152590";"134942";"189";"348";"1125";"1170"
"Rio de Janeiro";"25 a 29 anos";"172142";"184672";"170820";"207805";"13187";"17267";"17101";"20713";"51";"175";"32987";"36508";"151679";"129930";"562";"604";"1057";"879"
"Rio de Janeiro";"30 a 39 anos";"384997";"421476";"350034";"440679";"30541";"44448";"33299";"43362";"284";"219";"67781";"77918";"255793";"215147";"1010";"798";"1616";"1560"
"Rio de Janeiro";"40 a 49 anos";"428280";"466030";"358409";"455090";"34251";"58420";"29169";"39138";"337";"219";"63627";"77096";"209729";"165332";"697";"635";"1552";"1749"
"Rio de Janeiro";"50 a 59 anos";"414591";"466341";"278208";"381380";"32901";"55239";"20126";"29557";"149";"138";"52439";"70049";"152064";"110222";"567";"516";"1391";"1203"
"Rio de Janeiro";"60 a 69 anos";"377665";"445585";"177846";"289361";"29798";"52948";"13538";"20541";"69";"75";"38438";"59129";"104381";"75606";"406";"461";"764";"921"
"Rio de Janeiro";"70 a 79 anos";"212273";"284743";"82942";"154102";"14179";"28176";"5075";"8443";"35";"3";"18244";"30714";"46262";"33242";"191";"239";"525";"606"
"Rio de Janeiro";"80 anos ou mais";"85877";"171984";"31994";"68629";"5191";"13661";"1288";"4090";"27";"30";"6723";"14382";"14693";"15551";"101";"263";"106";"278"
"São Paulo";"15 a 19 anos";"681832";"629068";"426301";"438549";"26093";"27352";"19069";"27117";"522";"501";"79718";"75999";"219851";"191532";"1030";"593";"2900";"2050"
"São Paulo";"20 a 24 anos";"746721";"701435";"445463";"478803";"25484";"33255";"27592";"36022";"558";"538";"87154";"89729";"287169";"234435";"1276";"710";"3477";"2291"
"São Paulo";"25 a 29 anos";"754424";"741517";"445667";"500076";"27552";"39326";"29834";"36898";"627";"558";"93026";"99355";"293160";"232739";"1175";"721";"3299";"2150"
"São Paulo";"30 a 39 anos";"1669062";"1707597";"926508";"1092773";"74359";"109203";"54061";"73086";"1210";"1353";"191587";"211615";"504885";"388648";"2468";"1671";"5599";"4282"
"São Paulo";"40 a 49 anos";"1708768";"1771655";"856216";"1064103";"88097";"139232";"46510";"65709";"861";"893";"176744";"209274";"357115";"276053";"1887";"1550";"3806";"3384"
"São Paulo";"50 a 59 anos";"1514433";"1618550";"626435";"844743";"78059";"133663";"28749";"40338";"564";"438";"127374";"164663";"229510";"166784";"1272";"724";"2904";"2824"
"São Paulo";"60 a 69 anos";"1239280";"1409858";"381476";"599754";"62786";"107324";"15724";"20823";"231";"210";"82333";"121815";"140494";"99354";"511";"499";"2169";"2271"
"São Paulo";"70 a 79 anos";"681263";"867400";"178756";"302442";"28503";"51793";"5782";"7954";"70";"91";"40767";"66745";"61067";"44018";"325";"357";"919";"1019"
"São Paulo";"80 anos ou mais";"278171";"481177";"64919";"126267";"10675";"22306";"1589";"3210";"46";"164";"17435";"32712";"20361";"18911";"217";"451";"285";"723"
"Paraná";"15 a 19 anos";"228181";"217775";"106707";"108189";"2495";"2737";"2218";"3467";"262";"288";"13179";"12428";"32384";"29400";"135";"179";"475";"415"
"Paraná";"20 a 24 anos";"245160";"239345";"109847";"118328";"2123";"3352";"2905";"4321";"202";"225";"14985";"14108";"47835";"39623";"986";"214";"1234";"468"
"Paraná";"25 a 29 anos";"254885";"256868";"110993";"125749";"2686";"4120";"3402";"4107";"281";"224";"15022";"15824";"51433";"37087";"1292";"134";"1352";"431"
"Paraná";"30 a 39 anos";"510792";"525104";"221793";"254705";"7611";"11327";"5946";"7408";"243";"303";"31330";"32759";"74488";"55412";"2167";"285";"2173";"922"
"Paraná";"40 a 49 anos";"510061";"524597";"201291";"240363";"8313";"13150";"4351";"5809";"266";"249";"26566";"29107";"50747";"36386";"849";"197";"1077";"521"
"Paraná";"50 a 59 anos";"475550";"503015";"156208";"202560";"7031";"11108";"2384";"3463";"157";"119";"18637";"23883";"32752";"21966";"237";"34";"676";"530"
"Paraná";"60 a 69 anos";"354618";"396099";"100760";"143701";"5629";"8647";"1213";"1875";"110";"94";"11756";"15793";"18413";"10999";"125";"45";"422";"462"
"Paraná";"70 a 79 anos";"190098";"228400";"50288";"73290";"2488";"4056";"585";"532";"44";"18";"5071";"8337";"7664";"4508";"51";"36";"181";"220"
"Paraná";"80 anos ou mais";"74906";"110841";"19239";"30781";"965";"1626";"184";"225";"18";"21";"2157";"3915";"2666";"2052";"12";"5";"49";"111"
"Santa Catarina";"15 a 19 anos";"148167";"140107";"63763";"62455";"2339";"3064";"2326";"2649";"148";"105";"8331";"8663";"20075";"18129";"132";"43";"191";"156"
"Santa Catarina";"20 a 24 anos";"171239";"164567";"71235";"74383";"2319";"3240";"2795";"3343";"116";"120";"10832";"10872";"34124";"27188";"316";"84";"257";"219"
"Santa Catarina";"25 a 29 anos";"182767";"177432";"74785";"81219";"2880";"4777";"3157";"3389";"163";"190";"12331";"12545";"36188";"29765";"378";"274";"157";"168"
"Santa Catarina";"30 a 39 anos";"386827";"381638";"149295";"160166";"8828";"12749";"5039";"6774";"187";"262";"23842";"26145";"57295";"45728";"634";"259";"445";"384"
"Santa Catarina";"40 a 49 anos";"355467";"354567";"124942";"140791";"8937";"13639";"4146";"5444";"114";"177";"19410";"21174";"34451";"27072";"322";"47";"328";"215"
"Santa Catarina";"50 a 59 anos";"319852";"331572";"92295";"110198";"6548";"11926";"2288";"3210";"99";"102";"12880";"16173";"18306";"15265";"81";"67";"299";"237"
"Santa Catarina";"60 a 69 anos";"243873";"262437";"56665";"75837";"5081";"8260";"1279";"1461";"47";"36";"7374";"10273";"10660";"7855";"88";"34";"144";"204"
"Santa Catarina";"70 a 79 anos";"122681";"147567";"26165";"37252";"2280";"3780";"317";"538";"10";"18";"3324";"4878";"4009";"2698";"57";"87";"59";"56"
"Santa Catarina";"80 anos ou mais";"42552";"68613";"8863";"16350";"627";"1300";"50";"98";"20";"11";"764";"1845";"1214";"1159";"22";"173";"11";"38"
"Rio Grande do Sul";"15 a 19 anos";"187676";"176085";"78871";"79221";"5904";"6764";"12099";"14996";"207";"158";"10732";"10555";"44889";"41808";"159";"56";"132";"309"
"Rio Grande do Sul";"20 a 24 anos";"207461";"196013";"80244";"85656";"6101";"8596";"14411";"18302";"189";"219";"11116";"12047";"59735";"55260";"334";"118";"145";"206"
"Rio Grande do Sul";"25 a 29 anos";"208774";"207955";"82740";"93137";"6181";"9895";"14710";"18646";"157";"158";"12392";"13837";"61162";"51687";"368";"80";"208";"229"
"Rio Grande do Sul";"30 a 39 anos";"450581";"458435";"167381";"191026";"16564";"27784";"26331";"35614";"231";"295";"26701";"28738";"99053";"80526";"714";"162";"338";"351"
"Rio Grande do Sul";"40 a 49 anos";"452144";"462607";"156935";"176831";"19660";"34873";"22968";"32869";"306";"248";"22744";"26828";"68644";"55598";"350";"166";"280";"163"
"Rio Grande do Sul";"50 a 59 anos";"449637";"473888";"132146";"161267";"17443";"33508";"16356";"22122";"143";"191";"17979";"23833";"44690";"33594";"205";"89";"175";"229"
"Rio Grande do Sul";"60 a 69 anos";"395434";"433711";"97888";"131978";"14633";"27716";"9245";"13879";"113";"74";"12923";"18361";"27817";"21744";"139";"57";"194";"118"
"Rio Grande do Sul";"70 a 79 anos";"220131";"273942";"50680";"74484";"6258";"13227";"3312";"5468";"61";"53";"5691";"9954";"11844";"9706";"49";"30";"80";"96"
"Rio Grande do Sul";"80 anos ou mais";"79927";"146544";"18314";"33929";"2203";"5189";"776";"2231";"23";"18";"2334";"4910";"3922";"3970";"6";"173";"24";"48"
"Mato Grosso do Sul";"15 a 19 anos";"47822";"43227";"33186";"34704";"1064";"981";"567";"785";"165";"205";"3958";"4019";"13943";"12270";"75";"52";"137";"148"
"Mato Grosso do Sul";"20 a 24 anos";"47083";"45654";"32795";"36864";"972";"1033";"1007";"958";"142";"93";"4388";"4224";"16705";"14180";"130";"54";"125";"194"
"Mato Grosso do Sul";"25 a 29 anos";"50159";"52295";"35144";"38336";"1082";"1375";"864";"1013";"93";"156";"4659";"5104";"14954";"11291";"46";"56";"177";"149"
"Mato Grosso do Sul";"30 a 39 anos";"106165";"105736";"65941";"76140";"3010";"4266";"1376";"1785";"182";"154";"10356";"10676";"23624";"18541";"118";"54";"181";"201"
"Mato Grosso do Sul";"40 a 49 anos";"103530";"100949";"58463";"71874";"3073";"4683";"1065";"1233";"115";"91";"7862";"8050";"16542";"12722";"164";"158";"322";"152"
"Mato Grosso do Sul";"50 a 59 anos";"90675";"91283";"42659";"54526";"2294";"4339";"654";"848";"53";"48";"5674";"6698";"10148";"6832";"32";"67";"191";"143"
"Mato Grosso do Sul";"60 a 69 anos";"67821";"70783";"25780";"37382";"2064";"3400";"240";"513";"76";"59";"3554";"4200";"5985";"3631";"22";"4";"76";"76"
"Mato Grosso do Sul";"70 a 79 anos";"35122";"36971";"12722";"18793";"1204";"1519";"117";"157";"18";"56";"1542";"2238";"3021";"1385";"35";"19";"43";"8"
"Mato Grosso do Sul";"80 anos ou mais";"14421";"19610";"5487";"7723";"348";"656";"71";"95";"36";"22";"757";"888";"1096";"762";"9";"-";"28";"55"
"Mato Grosso";"15 a 19 anos";"72832";"68197";"41088";"42459";"945";"955";"898";"837";"933";"895";"4547";"4802";"16420";"14899";"42";"77";"138";"87"
"Mato Grosso";"20 a 24 anos";"77895";"75092";"39813";"43748";"1122";"1219";"701";"992";"830";"703";"5447";"4432";"20284";"16646";"66";"52";"181";"164"
"Mato Grosso";"25 a 29 anos";"84462";"81441";"41583";"47405";"1202";"1278";"808";"824";"612";"577";"5214";"5532";"18493";"14193";"47";"59";"213";"144"
"Mato Grosso";"30 a 39 anos";"171255";"165300";"85924";"96534";"2670";"3394";"1132";"1776";"880";"876";"10318";"11088";"30628";"21914";"128";"71";"170";"133"
"Mato Grosso";"40 a 49 anos";"154488";"147026";"76148";"88696";"2706";"3964";"956";"1074";"562";"482";"8009";"8280";"22043";"15010";"41";"29";"247";"147"
"Mato Grosso";"50 a 59 anos";"125822";"116425";"52768";"65089";"2048";"3863";"525";"623";"312";"311";"5787";"5802";"13390";"7512";"62";"25";"137";"77"
"Mato Grosso";"60 a 69 anos";"85850";"78629";"30742";"40716";"1476";"2219";"339";"312";"186";"167";"2978";"3578";"7470";"3315";"3";"5";"76";"23"
"Mato Grosso";"70 a 79 anos";"40457";"39302";"14141";"18651";"730";"1244";"114";"77";"82";"104";"1248";"1394";"3200";"1135";"5";"12";"37";"32"
"Mato Grosso";"80 anos ou mais";"15280";"17426";"5707";"7353";"272";"415";"-";"35";"69";"106";"466";"845";"1110";"588";"-";"17";"28";"9"
"Goiás";"15 a 19 anos";"123848";"115108";"87619";"92396";"3082";"3776";"1170";"1731";"16";"33";"11548";"11207";"30926";"25629";"124";"31";"327";"243"
"Goiás";"20 a 24 anos";"129930";"128007";"87944";"94995";"3572";"4859";"2141";"2421";"37";"60";"13836";"13044";"40221";"31767";"277";"45";"271";"328"
"Goiás";"25 a 29 anos";"131976";"133999";"89396";"99413";"3716";"5398";"1909";"1891";"41";"22";"14501";"14729";"38065";"28291";"406";"33";"424";"325"
"Goiás";"30 a 39 anos";"281717";"281522";"174936";"207816";"9207";"12333";"3924";"3674";"34";"64";"27072";"30184";"61903";"44528";"555";"153";"456";"534"
"Goiás";"40 a 49 anos";"279768";"278228";"157018";"194253";"10285";"14089";"2341";"2848";"40";"90";"22706";"23748";"45128";"32723";"246";"68";"540";"391"
"Goiás";"50 a 59 anos";"230889";"231051";"109760";"147220";"8547";"12851";"1417";"1813";"7";"36";"14262";"17356";"29767";"19175";"97";"84";"280";"189"
"Goiás";"60 a 69 anos";"164676";"169811";"63718";"94471";"6799";"10402";"543";"867";"49";"48";"8172";"10596";"16813";"9610";"49";"42";"235";"171"
"Goiás";"70 a 79 anos";"87259";"94255";"31066";"45575";"3802";"4936";"318";"301";"10";"23";"3476";"4492";"7476";"3929";"37";"19";"76";"48"
"Goiás";"80 anos ou mais";"35773";"46179";"12101";"18849";"1349";"2177";"89";"101";"-";"-";"1092";"1893";"3164";"1465";"28";"27";"50";"67"
"Distrito Federal";"15 a 19 anos";"49719";"46485";"33029";"35197";"1955";"2074";"421";"943";"21";"-";"5332";"4866";"15639";"13859";"442";"71";"155";"130"
"Distrito Federal";"20 a 24 anos";"50257";"48794";"32039";"36514";"2160";"2720";"830";"1312";"-";"60";"5498";"6243";"20894";"16966";"2520";"23";"179";"91"
"Distrito Federal";"25 a 29 anos";"46263";"51349";"30977";"35001";"2289";"2909";"1297";"1543";"22";"17";"5648";"6182";"20064";"15071";"2942";"69";"146";"218"
"Distrito Federal";"30 a 39 anos";"101681";"114657";"58693";"74793";"5503";"8543";"2231";"3010";"101";"81";"11714";"12002";"33168";"26795";"4818";"111";"168";"307"
"Distrito Federal";"40 a 49 anos";"109432";"121420";"58851";"80709";"6342";"10552";"1605";"2325";"21";"42";"10522";"13529";"25860";"19960";"2581";"102";"449";"277"
