"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Sudeste";"40 a 49 anos";"3215688";"3322394";"1653078";"2063813";"154527";"246932";"82635";"114818";"1485";"1335";"299013";"354531";"697222";"531246";"3568";"2656";"6902";"6182"
"Sudeste";"50 a 59 anos";"2914140";"3094808";"1223052";"1657752";"139059";"235048";"54040";"76079";"917";"745";"221814";"286920";"467426";"330942";"2163";"1478";"5520";"4951"
"Sudeste";"60 a 69 anos";"2420943";"2706926";"763675";"1194427";"115071";"195566";"31757";"44774";"413";"408";"147748";"216938";"299290";"204891";"1186";"1134";"3792";"3867"
"Sudeste";"70 a 79 anos";"1329032";"1661393";"356322";"608130";"53873";"96415";"11869";"17569";"169";"119";"71672";"114328";"130567";"89759";"653";"666";"1798";"2050"
"Sudeste";"80 anos ou mais";"556107";"944336";"136213";"267213";"20416";"43467";"3343";"7667";"88";"206";"28902";"56123";"42872";"39787";"394";"787";"664";"1194"
"Sul";"15 a 19 anos";"564023";"533967";"249341";"249865";"10738";"12565";"16643";"21112";"617";"551";"32241";"31645";"97348";"89337";"426";"277";"798";"880"
"Sul";"20 a 24 anos";"623859";"599925";"261326";"278366";"10543";"15187";"20112";"25966";"507";"564";"36934";"37027";"141694";"122070";"1635";"417";"1636";"893"
"Sul";"25 a 29 anos";"646426";"642255";"268519";"300105";"11747";"18792";"21269";"26142";"601";"572";"39744";"42206";"148783";"118540";"2038";"487";"1717";"828"
"Sul";"30 a 39 anos";"1348199";"1365177";"538469";"605898";"33003";"51860";"37315";"49796";"661";"860";"81873";"87642";"230835";"181665";"3514";"706";"2956";"1658"
"Sul";"40 a 49 anos";"1317672";"1341771";"483168";"557985";"36910";"61662";"31466";"44122";"685";"674";"68719";"77108";"153842";"119057";"1520";"410";"1685";"899"
"Sul";"50 a 59 anos";"1245039";"1308475";"380649";"474025";"31021";"56542";"21028";"28794";"399";"412";"49495";"63889";"95748";"70825";"522";"191";"1150";"996"
"Sul";"60 a 69 anos";"993924";"1092248";"255313";"351516";"25344";"44624";"11738";"17215";"270";"204";"32054";"44427";"56890";"40597";"352";"137";"760";"784"
"Sul";"70 a 79 anos";"532909";"649910";"127133";"185027";"11025";"21062";"4214";"6537";"115";"89";"14086";"23170";"23517";"16912";"157";"153";"320";"373"
"Sul";"80 anos ou mais";"197385";"325997";"46416";"81060";"3795";"8116";"1010";"2555";"61";"50";"5255";"10670";"7801";"7181";"40";"351";"84";"197"
"Centro-Oeste";"15 a 19 anos";"294220";"273017";"194922";"204756";"7045";"7786";"3057";"4297";"1135";"1132";"25385";"24894";"76929";"66657";"683";"232";"757";"608"
"Centro-Oeste";"20 a 24 anos";"305165";"297548";"192590";"212120";"7826";"9832";"4679";"5683";"1009";"916";"29168";"27943";"98104";"79559";"2993";"174";"756";"777"
"Centro-Oeste";"25 a 29 anos";"312861";"319084";"197100";"220155";"8289";"10960";"4879";"5271";"769";"773";"30022";"31548";"91576";"68846";"3441";"217";"960";"836"
"Centro-Oeste";"30 a 39 anos";"660817";"667214";"385494";"455283";"20390";"28536";"8663";"10245";"1197";"1175";"59459";"63950";"149323";"111777";"5618";"390";"974";"1175"
"Centro-Oeste";"40 a 49 anos";"647217";"647624";"350480";"435532";"22405";"33288";"5967";"7480";"738";"705";"49099";"53606";"109573";"80415";"3033";"357";"1557";"967"
"Centro-Oeste";"50 a 59 anos";"530324";"531722";"244888";"322851";"18619";"29792";"3474";"4459";"434";"414";"32280";"38598";"68849";"45005";"960";"308";"847";"590"
"Centro-Oeste";"60 a 69 anos";"373508";"387112";"138542";"205109";"14316";"21354";"1798";"2463";"312";"284";"18363";"23502";"38482";"22680";"313";"163";"456";"393"
"Centro-Oeste";"70 a 79 anos";"192120";"211368";"65896";"99127";"7603";"10990";"868";"837";"110";"204";"8155";"10873";"17688";"8631";"132";"71";"206";"150"
