"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - População (Pessoas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Ceará";"65 a 74 anos";"...";"...";"160539";"215182"
"Ceará";"75 anos ou mais";"...";"...";"118546";"151643"
"Rio Grande do Norte";"18 anos";"29727";"30462";"28917";"32641"
"Rio Grande do Norte";"19 anos";"30841";"29398";"26816";"28664"
"Rio Grande do Norte";"20 a 24 anos";"...";"...";"148154";"137787"
"Rio Grande do Norte";"25 a 29 anos";"...";"...";"136491";"130622"
"Rio Grande do Norte";"30 a 34 anos";"...";"...";"126230";"124481"
"Rio Grande do Norte";"35 a 44 anos";"...";"...";"213738";"226770"
"Rio Grande do Norte";"45 a 54 anos";"...";"...";"143694";"156315"
"Rio Grande do Norte";"55 a 64 anos";"...";"...";"93062";"119768"
"Rio Grande do Norte";"65 a 74 anos";"...";"...";"51143";"91202"
"Rio Grande do Norte";"75 anos ou mais";"...";"...";"38317";"56681"
"Paraíba";"18 anos";"35211";"31390";"29524";"37976"
"Paraíba";"19 anos";"40506";"30017";"29204";"31610"
"Paraíba";"20 a 24 anos";"...";"...";"159605";"177153"
"Paraíba";"25 a 29 anos";"...";"...";"160643";"178055"
"Paraíba";"30 a 34 anos";"...";"...";"149251";"125128"
"Paraíba";"35 a 44 anos";"...";"...";"226649";"266397"
"Paraíba";"45 a 54 anos";"...";"...";"158419";"218387"
"Paraíba";"55 a 64 anos";"...";"...";"139698";"160995"
"Paraíba";"65 a 74 anos";"...";"...";"86054";"106918"
"Paraíba";"75 anos ou mais";"...";"...";"57210";"71285"
"Pernambuco";"18 anos";"103983";"85667";"80380";"68375"
"Pernambuco";"19 anos";"93700";"75652";"74028";"71962"
"Pernambuco";"20 a 24 anos";"...";"...";"385273";"368401"
"Pernambuco";"25 a 29 anos";"...";"...";"374343";"351388"
"Pernambuco";"30 a 34 anos";"...";"...";"332367";"349636"
"Pernambuco";"35 a 44 anos";"...";"...";"548383";"674231"
"Pernambuco";"45 a 54 anos";"...";"...";"413415";"470863"
"Pernambuco";"55 a 64 anos";"...";"...";"274893";"372282"
"Pernambuco";"65 a 74 anos";"...";"...";"187064";"267946"
"Pernambuco";"75 anos ou mais";"...";"...";"92975";"157271"
"Alagoas";"18 anos";"37177";"30878";"23969";"28238"
"Alagoas";"19 anos";"32981";"28024";"27187";"26872"
"Alagoas";"20 a 24 anos";"...";"...";"134590";"129468"
"Alagoas";"25 a 29 anos";"...";"...";"131246";"138668"
"Alagoas";"30 a 34 anos";"...";"...";"108623";"138889"
"Alagoas";"35 a 44 anos";"...";"...";"196827";"192499"
"Alagoas";"45 a 54 anos";"...";"...";"123821";"178792"
"Alagoas";"55 a 64 anos";"...";"...";"104808";"122047"
"Alagoas";"65 a 74 anos";"...";"...";"62000";"64922"
"Alagoas";"75 anos ou mais";"...";"...";"35220";"42372"
"Sergipe";"18 anos";"19937";"20423";"25145";"16048"
"Sergipe";"19 anos";"20614";"13851";"22085";"20059"
"Sergipe";"20 a 24 anos";"...";"...";"95153";"84761"
"Sergipe";"25 a 29 anos";"...";"...";"95281";"85160"
"Sergipe";"30 a 34 anos";"...";"...";"72772";"75900"
"Sergipe";"35 a 44 anos";"...";"...";"140587";"151722"
"Sergipe";"45 a 54 anos";"...";"...";"92558";"101066"
"Sergipe";"55 a 64 anos";"...";"...";"47138";"67284"
"Sergipe";"65 a 74 anos";"...";"...";"34566";"41218"
"Sergipe";"75 anos ou mais";"...";"...";"23683";"33963"
"Bahia";"18 anos";"182103";"136423";"122012";"130787"
"Bahia";"19 anos";"151912";"129111";"144285";"130241"
"Bahia";"20 a 24 anos";"...";"...";"705187";"629647"
"Bahia";"25 a 29 anos";"...";"...";"607402";"583079"
"Bahia";"30 a 34 anos";"...";"...";"535405";"521009"
"Bahia";"35 a 44 anos";"...";"...";"913625";"1034083"
"Bahia";"45 a 54 anos";"...";"...";"744677";"826227"
"Bahia";"55 a 64 anos";"...";"...";"454281";"569459"
"Bahia";"65 a 74 anos";"...";"...";"273016";"306655"
"Bahia";"75 anos ou mais";"...";"...";"192656";"263554"
"Minas Gerais";"18 anos";"154472";"157932";"163781";"149733"
"Minas Gerais";"19 anos";"166037";"177780";"164195";"175190"
"Minas Gerais";"20 a 24 anos";"...";"...";"785590";"727058"
"Minas Gerais";"25 a 29 anos";"...";"...";"823039";"808003"
"Minas Gerais";"30 a 34 anos";"...";"...";"730403";"765335"
"Minas Gerais";"35 a 44 anos";"...";"...";"1356372";"1487952"
"Minas Gerais";"45 a 54 anos";"...";"...";"1231070";"1331421"
"Minas Gerais";"55 a 64 anos";"...";"...";"782061";"880703"
"Minas Gerais";"65 a 74 anos";"...";"...";"468948";"579971"
"Minas Gerais";"75 anos ou mais";"...";"...";"251644";"325795"
"Espírito Santo";"18 anos";"29899";"29539";"25308";"31823"
"Espírito Santo";"19 anos";"29234";"35104";"39204";"25429"
"Espírito Santo";"20 a 24 anos";"...";"...";"150141";"153390"
"Espírito Santo";"25 a 29 anos";"...";"...";"151853";"154673"
"Espírito Santo";"30 a 34 anos";"...";"...";"146453";"128331"
"Espírito Santo";"35 a 44 anos";"...";"...";"237517";"254537"
"Espírito Santo";"45 a 54 anos";"...";"...";"199428";"218381"
"Espírito Santo";"55 a 64 anos";"...";"...";"136357";"164620"
"Espírito Santo";"65 a 74 anos";"...";"...";"79349";"87249"
"Espírito Santo";"75 anos ou mais";"...";"...";"41154";"59812"
"Rio de Janeiro";"18 anos";"159736";"100547";"108197";"156851"
"Rio de Janeiro";"19 anos";"109904";"132434";"106259";"113641"
"Rio de Janeiro";"20 a 24 anos";"...";"...";"648804";"596130"
"Rio de Janeiro";"25 a 29 anos";"...";"...";"623427";"588142"
"Rio de Janeiro";"30 a 34 anos";"...";"...";"533970";"493525"
"Rio de Janeiro";"35 a 44 anos";"...";"...";"1091930";"1290093"
"Rio de Janeiro";"45 a 54 anos";"...";"...";"997308";"1129895"
"Rio de Janeiro";"55 a 64 anos";"...";"...";"672354";"832653"
"Rio de Janeiro";"65 a 74 anos";"...";"...";"362285";"533948"
"Rio de Janeiro";"75 anos ou mais";"...";"...";"231687";"367174"
"São Paulo";"18 anos";"435684";"350658";"346393";"292308"
"São Paulo";"19 anos";"449120";"403995";"296158";"277017"
"São Paulo";"20 a 24 anos";"...";"...";"1865539";"1638197"
"São Paulo";"25 a 29 anos";"...";"...";"1797095";"1665555"
"São Paulo";"30 a 34 anos";"...";"...";"1418506";"1654863"
"São Paulo";"35 a 44 anos";"...";"...";"2882619";"3212791"
"São Paulo";"45 a 54 anos";"...";"...";"2339757";"2850827"
"São Paulo";"55 a 64 anos";"...";"...";"1693407";"1880177"
"São Paulo";"65 a 74 anos";"...";"...";"957560";"1124036"
"São Paulo";"75 anos ou mais";"...";"...";"556052";"773757"
"Paraná";"18 anos";"107870";"81235";"93802";"84980"
"Paraná";"19 anos";"75525";"80158";"90701";"67793"
"Paraná";"20 a 24 anos";"...";"...";"414660";"426717"
"Paraná";"25 a 29 anos";"...";"...";"443780";"425345"
"Paraná";"30 a 34 anos";"...";"...";"367403";"351010"
"Paraná";"35 a 44 anos";"...";"...";"758026";"868291"
"Paraná";"45 a 54 anos";"...";"...";"670064";"731965"
"Paraná";"55 a 64 anos";"...";"...";"400842";"453118"
"Paraná";"65 a 74 anos";"...";"...";"249265";"306334"
"Paraná";"75 anos ou mais";"...";"...";"125319";"197723"
"Santa Catarina";"18 anos";"45367";"47857";"39659";"44999"
"Santa Catarina";"19 anos";"62090";"46506";"55919";"40025"
"Santa Catarina";"20 a 24 anos";"...";"...";"266965";"222929"
"Santa Catarina";"25 a 29 anos";"...";"...";"227927";"268413"
"Santa Catarina";"30 a 34 anos";"...";"...";"226306";"243034"
"Santa Catarina";"35 a 44 anos";"...";"...";"485017";"479566"
"Santa Catarina";"45 a 54 anos";"...";"...";"413418";"406627"
"Santa Catarina";"55 a 64 anos";"...";"...";"239396";"278806"
"Santa Catarina";"65 a 74 anos";"...";"...";"138194";"158144"
"Santa Catarina";"75 anos ou mais";"...";"...";"48125";"75513"
"Rio Grande do Sul";"18 anos";"96201";"88970";"90595";"104902"
