"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - População (Pessoas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Paraíba";"45 a 54 anos";"...";"...";"166,8";"155,4"
"Paraíba";"55 a 64 anos";"...";"...";"164,9";"153,8"
"Paraíba";"65 a 74 anos";"...";"...";"163,2";"152,6"
"Paraíba";"75 anos ou mais";"...";"...";"162,9";"152,3"
"Pernambuco";"18 anos";"169,9";"161,1";"172,8";"160,3"
"Pernambuco";"19 anos";"169,3";"160,5";"173,9";"161,5"
"Pernambuco";"20 a 24 anos";"...";"...";"172,3";"160,0"
"Pernambuco";"25 a 29 anos";"...";"...";"171,0";"160,0"
"Pernambuco";"30 a 34 anos";"...";"...";"171,6";"158,8"
"Pernambuco";"35 a 44 anos";"...";"...";"169,5";"158,3"
"Pernambuco";"45 a 54 anos";"...";"...";"168,2";"157,2"
"Pernambuco";"55 a 64 anos";"...";"...";"165,8";"155,4"
"Pernambuco";"65 a 74 anos";"...";"...";"165,0";"154,2"
"Pernambuco";"75 anos ou mais";"...";"...";"162,1";"151,1"
"Alagoas";"18 anos";"166,9";"157,6";"170,4";"161,7"
"Alagoas";"19 anos";"169,1";"158,4";"168,8";"159,4"
"Alagoas";"20 a 24 anos";"...";"...";"169,9";"159,4"
"Alagoas";"25 a 29 anos";"...";"...";"170,5";"159,0"
"Alagoas";"30 a 34 anos";"...";"...";"170,1";"158,1"
"Alagoas";"35 a 44 anos";"...";"...";"168,6";"158,3"
"Alagoas";"45 a 54 anos";"...";"...";"168,1";"155,7"
"Alagoas";"55 a 64 anos";"...";"...";"164,3";"154,5"
"Alagoas";"65 a 74 anos";"...";"...";"163,1";"152,6"
"Alagoas";"75 anos ou mais";"...";"...";"161,1";"148,4"
"Sergipe";"18 anos";"169,9";"159,3";"174,8";"160,3"
"Sergipe";"19 anos";"169,6";"157,6";"168,4";"159,4"
"Sergipe";"20 a 24 anos";"...";"...";"171,8";"159,9"
"Sergipe";"25 a 29 anos";"...";"...";"170,8";"160,9"
"Sergipe";"30 a 34 anos";"...";"...";"169,1";"157,9"
"Sergipe";"35 a 44 anos";"...";"...";"168,3";"157,8"
"Sergipe";"45 a 54 anos";"...";"...";"168,0";"155,9"
"Sergipe";"55 a 64 anos";"...";"...";"164,9";"154,0"
"Sergipe";"65 a 74 anos";"...";"...";"163,1";"150,1"
"Sergipe";"75 anos ou mais";"...";"...";"162,4";"147,6"
"Bahia";"18 anos";"170,2";"159,2";"172,1";"162,0"
"Bahia";"19 anos";"171,3";"161,2";"171,6";"159,8"
"Bahia";"20 a 24 anos";"...";"...";"172,4";"161,0"
"Bahia";"25 a 29 anos";"...";"...";"172,1";"160,0"
"Bahia";"30 a 34 anos";"...";"...";"171,6";"160,2"
"Bahia";"35 a 44 anos";"...";"...";"170,3";"158,9"
"Bahia";"45 a 54 anos";"...";"...";"168,5";"157,7"
"Bahia";"55 a 64 anos";"...";"...";"167,0";"155,0"
"Bahia";"65 a 74 anos";"...";"...";"165,8";"153,2"
"Bahia";"75 anos ou mais";"...";"...";"164,9";"150,5"
"Minas Gerais";"18 anos";"171,6";"161,0";"172,7";"162,2"
"Minas Gerais";"19 anos";"170,1";"159,9";"172,7";"162,2"
"Minas Gerais";"20 a 24 anos";"...";"...";"173,4";"162,3"
"Minas Gerais";"25 a 29 anos";"...";"...";"173,6";"161,2"
"Minas Gerais";"30 a 34 anos";"...";"...";"172,0";"160,8"
"Minas Gerais";"35 a 44 anos";"...";"...";"171,2";"159,5"
"Minas Gerais";"45 a 54 anos";"...";"...";"169,8";"158,4"
"Minas Gerais";"55 a 64 anos";"...";"...";"168,3";"157,0"
"Minas Gerais";"65 a 74 anos";"...";"...";"168,1";"156,0"
"Minas Gerais";"75 anos ou mais";"...";"...";"165,5";"153,1"
"Espírito Santo";"18 anos";"172,8";"160,0";"170,0";"161,8"
"Espírito Santo";"19 anos";"174,2";"162,0";"174,4";"164,0"
"Espírito Santo";"20 a 24 anos";"...";"...";"173,5";"162,5"
"Espírito Santo";"25 a 29 anos";"...";"...";"173,1";"162,2"
"Espírito Santo";"30 a 34 anos";"...";"...";"172,4";"161,7"
"Espírito Santo";"35 a 44 anos";"...";"...";"172,0";"160,0"
"Espírito Santo";"45 a 54 anos";"...";"...";"170,1";"158,9"
"Espírito Santo";"55 a 64 anos";"...";"...";"168,2";"157,0"
"Espírito Santo";"65 a 74 anos";"...";"...";"168,4";"155,7"
"Espírito Santo";"75 anos ou mais";"...";"...";"166,1";"154,4"
"Rio de Janeiro";"18 anos";"169,9";"163,5";"179,3";"163,6"
"Rio de Janeiro";"19 anos";"170,5";"161,0";"174,9";"164,5"
"Rio de Janeiro";"20 a 24 anos";"...";"...";"175,0";"164,1"
"Rio de Janeiro";"25 a 29 anos";"...";"...";"174,5";"162,4"
"Rio de Janeiro";"30 a 34 anos";"...";"...";"173,1";"162,8"
"Rio de Janeiro";"35 a 44 anos";"...";"...";"172,2";"162,0"
"Rio de Janeiro";"45 a 54 anos";"...";"...";"171,7";"160,6"
"Rio de Janeiro";"55 a 64 anos";"...";"...";"169,9";"158,0"
"Rio de Janeiro";"65 a 74 anos";"...";"...";"168,2";"155,3"
"Rio de Janeiro";"75 anos ou mais";"...";"...";"169,5";"154,2"
"São Paulo";"18 anos";"173,6";"162,4";"172,9";"161,6"
"São Paulo";"19 anos";"169,8";"161,9";"171,9";"162,6"
"São Paulo";"20 a 24 anos";"...";"...";"174,5";"162,3"
"São Paulo";"25 a 29 anos";"...";"...";"174,7";"162,2"
"São Paulo";"30 a 34 anos";"...";"...";"172,5";"161,3"
"São Paulo";"35 a 44 anos";"...";"...";"172,3";"160,2"
"São Paulo";"45 a 54 anos";"...";"...";"171,0";"159,0"
"São Paulo";"55 a 64 anos";"...";"...";"169,2";"158,2"
"São Paulo";"65 a 74 anos";"...";"...";"168,0";"155,5"
"São Paulo";"75 anos ou mais";"...";"...";"167,2";"153,3"
"Paraná";"18 anos";"173,0";"159,7";"173,4";"163,6"
"Paraná";"19 anos";"170,5";"162,4";"174,1";"163,5"
"Paraná";"20 a 24 anos";"...";"...";"174,5";"162,2"
"Paraná";"25 a 29 anos";"...";"...";"174,2";"161,8"
"Paraná";"30 a 34 anos";"...";"...";"172,5";"161,5"
"Paraná";"35 a 44 anos";"...";"...";"172,2";"160,2"
"Paraná";"45 a 54 anos";"...";"...";"170,6";"159,5"
"Paraná";"55 a 64 anos";"...";"...";"168,8";"156,9"
"Paraná";"65 a 74 anos";"...";"...";"168,1";"156,0"
"Paraná";"75 anos ou mais";"...";"...";"167,1";"154,8"
"Santa Catarina";"18 anos";"174,4";"162,9";"175,1";"164,5"
"Santa Catarina";"19 anos";"176,2";"163,1";"172,1";"161,6"
"Santa Catarina";"20 a 24 anos";"...";"...";"174,7";"163,4"
"Santa Catarina";"25 a 29 anos";"...";"...";"174,7";"162,7"
"Santa Catarina";"30 a 34 anos";"...";"...";"174,0";"162,8"
"Santa Catarina";"35 a 44 anos";"...";"...";"172,8";"161,6"
"Santa Catarina";"45 a 54 anos";"...";"...";"171,0";"160,1"
"Santa Catarina";"55 a 64 anos";"...";"...";"171,3";"159,0"
"Santa Catarina";"65 a 74 anos";"...";"...";"168,3";"157,0"
"Santa Catarina";"75 anos ou mais";"...";"...";"167,2";"156,3"
"Rio Grande do Sul";"18 anos";"173,2";"162,2";"172,8";"159,0"
"Rio Grande do Sul";"19 anos";"171,3";"161,8";"176,1";"163,4"
"Rio Grande do Sul";"20 a 24 anos";"...";"...";"174,3";"161,9"
"Rio Grande do Sul";"25 a 29 anos";"...";"...";"174,3";"161,7"
"Rio Grande do Sul";"30 a 34 anos";"...";"...";"172,0";"161,2"
"Rio Grande do Sul";"35 a 44 anos";"...";"...";"172,9";"161,2"
"Rio Grande do Sul";"45 a 54 anos";"...";"...";"171,3";"160,1"
"Rio Grande do Sul";"55 a 64 anos";"...";"...";"170,8";"158,0"
"Rio Grande do Sul";"65 a 74 anos";"...";"...";"169,9";"157,8"
"Rio Grande do Sul";"75 anos ou mais";"...";"...";"167,4";"155,3"
"Mato Grosso do Sul";"18 anos";"169,8";"160,8";"172,1";"159,4"
"Mato Grosso do Sul";"19 anos";"171,4";"160,2";"173,2";"160,3"
"Mato Grosso do Sul";"20 a 24 anos";"...";"...";"174,2";"161,3"
"Mato Grosso do Sul";"25 a 29 anos";"...";"...";"173,6";"161,3"
"Mato Grosso do Sul";"30 a 34 anos";"...";"...";"173,3";"161,5"
"Mato Grosso do Sul";"35 a 44 anos";"...";"...";"170,9";"159,6"
"Mato Grosso do Sul";"45 a 54 anos";"...";"...";"169,6";"158,0"
"Mato Grosso do Sul";"55 a 64 anos";"...";"...";"168,6";"156,2"
"Mato Grosso do Sul";"65 a 74 anos";"...";"...";"167,3";"154,9"
"Mato Grosso do Sul";"75 anos ou mais";"...";"...";"163,4";"152,3"
"Mato Grosso";"18 anos";"168,9";"160,5";"172,8";"162,5"
"Mato Grosso";"19 anos";"170,2";"162,5";"173,9";"161,8"
"Mato Grosso";"20 a 24 anos";"...";"...";"173,1";"162,0"
"Mato Grosso";"25 a 29 anos";"...";"...";"173,6";"162,1"
"Mato Grosso";"30 a 34 anos";"...";"...";"172,6";"161,2"
"Mato Grosso";"35 a 44 anos";"...";"...";"171,0";"161,5"
"Mato Grosso";"45 a 54 anos";"...";"...";"169,2";"160,1"
"Mato Grosso";"55 a 64 anos";"...";"...";"168,3";"156,9"
"Mato Grosso";"65 a 74 anos";"...";"...";"167,3";"157,0"
"Mato Grosso";"75 anos ou mais";"...";"...";"167,0";"154,5"
"Goiás";"18 anos";"171,4";"160,0";"170,2";"161,0"
"Goiás";"19 anos";"173,1";"159,9";"175,0";"162,9"
"Goiás";"20 a 24 anos";"...";"...";"174,5";"162,0"
"Goiás";"25 a 29 anos";"...";"...";"172,8";"160,3"
"Goiás";"30 a 34 anos";"...";"...";"172,6";"160,7"
"Goiás";"35 a 44 anos";"...";"...";"171,1";"159,9"
"Goiás";"45 a 54 anos";"...";"...";"170,1";"158,6"
"Goiás";"55 a 64 anos";"...";"...";"168,9";"157,0"
"Goiás";"65 a 74 anos";"...";"...";"167,4";"156,1"
"Goiás";"75 anos ou mais";"...";"...";"166,7";"154,0"
"Distrito Federal";"18 anos";"175,4";"159,6";"175,3";"161,2"
"Distrito Federal";"19 anos";"171,5";"163,7";"169,4";"164,0"
"Distrito Federal";"20 a 24 anos";"...";"...";"172,8";"160,8"
"Distrito Federal";"25 a 29 anos";"...";"...";"172,9";"162,2"
"Distrito Federal";"30 a 34 anos";"...";"...";"171,7";"160,5"
"Distrito Federal";"35 a 44 anos";"...";"...";"172,3";"160,0"
"Distrito Federal";"45 a 54 anos";"...";"...";"169,4";"159,0"
"Distrito Federal";"55 a 64 anos";"...";"...";"166,0";"158,1"
"Distrito Federal";"65 a 74 anos";"...";"...";"168,3";"157,3"
"Distrito Federal";"75 anos ou mais";"...";"...";"166,7";"153,3"
"Fonte: IBGE - Pesquisa de Orçamentos Familiares"

"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - Mediana de peso (Quilogramas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Rondônia";"18 anos";"59,7";"52,4";"66,1";"55,8"
"Rondônia";"19 anos";"63,0";"54,8";"62,8";"52,7"
"Rondônia";"20 a 24 anos";"...";"...";"67,8";"58,1"
"Rondônia";"25 a 29 anos";"...";"...";"71,3";"59,4"
"Rondônia";"30 a 34 anos";"...";"...";"72,9";"61,0"
"Rondônia";"35 a 44 anos";"...";"...";"73,4";"66,1"
"Rondônia";"45 a 54 anos";"...";"...";"73,6";"65,2"
"Rondônia";"55 a 64 anos";"...";"...";"74,6";"64,0"
"Rondônia";"65 a 74 anos";"...";"...";"65,8";"63,2"
"Rondônia";"75 anos ou mais";"...";"...";"64,3";"56,7"
"Acre";"18 anos";"56,4";"53,4";"64,2";"54,6"
"Acre";"19 anos";"63,1";"51,3";"65,3";"54,1"
"Acre";"20 a 24 anos";"...";"...";"65,9";"56,8"
"Acre";"25 a 29 anos";"...";"...";"70,1";"59,8"
"Acre";"30 a 34 anos";"...";"...";"71,3";"58,7"
"Acre";"35 a 44 anos";"...";"...";"71,3";"61,1"
"Acre";"45 a 54 anos";"...";"...";"69,9";"63,9"
"Acre";"55 a 64 anos";"...";"...";"63,9";"64,0"
"Acre";"65 a 74 anos";"...";"...";"65,0";"56,8"
"Acre";"75 anos ou mais";"...";"...";"60,6";"52,0"
"Amazonas";"18 anos";"61,2";"51,0";"63,2";"54,1"
"Amazonas";"19 anos";"57,8";"51,4";"64,1";"57,1"
"Amazonas";"20 a 24 anos";"...";"...";"66,8";"56,7"
"Amazonas";"25 a 29 anos";"...";"...";"70,9";"58,1"
"Amazonas";"30 a 34 anos";"...";"...";"73,5";"60,2"
"Amazonas";"35 a 44 anos";"...";"...";"73,3";"63,0"
"Amazonas";"45 a 54 anos";"...";"...";"72,0";"64,1"
"Amazonas";"55 a 64 anos";"...";"...";"71,0";"64,7"
"Amazonas";"65 a 74 anos";"...";"...";"67,5";"60,0"
"Amazonas";"75 anos ou mais";"...";"...";"65,1";"56,5"
"Roraima";"18 anos";"59,6";"44,9";"67,4";"54,6"
"Roraima";"19 anos";"62,8";"51,3";"62,8";"54,3"
"Roraima";"20 a 24 anos";"...";"...";"67,3";"57,4"
"Roraima";"25 a 29 anos";"...";"...";"69,7";"59,7"
"Roraima";"30 a 34 anos";"...";"...";"69,2";"62,2"
"Roraima";"35 a 44 anos";"...";"...";"71,0";"62,6"
"Roraima";"45 a 54 anos";"...";"...";"72,0";"63,8"
"Roraima";"55 a 64 anos";"...";"...";"75,9";"62,9"
"Roraima";"65 a 74 anos";"...";"...";"70,6";"61,1"
"Roraima";"75 anos ou mais";"...";"...";"68,0";"54,4"
"Pará";"18 anos";"61,0";"50,9";"61,6";"52,7"
"Pará";"19 anos";"61,1";"50,1";"63,6";"49,7"
"Pará";"20 a 24 anos";"...";"...";"65,0";"55,0"
"Pará";"25 a 29 anos";"...";"...";"68,1";"58,4"
"Pará";"30 a 34 anos";"...";"...";"69,8";"58,6"
"Pará";"35 a 44 anos";"...";"...";"70,5";"62,6"
"Pará";"45 a 54 anos";"...";"...";"71,4";"63,0"
"Pará";"55 a 64 anos";"...";"...";"66,5";"62,1"
"Pará";"65 a 74 anos";"...";"...";"63,2";"59,9"
"Pará";"75 anos ou mais";"...";"...";"63,7";"56,2"
"Amapá";"18 anos";"58,1";"52,3";"66,3";"53,1"
"Amapá";"19 anos";"64,4";"56,2";"64,0";"53,0"
"Amapá";"20 a 24 anos";"...";"...";"67,8";"56,1"
"Amapá";"25 a 29 anos";"...";"...";"71,2";"58,4"
"Amapá";"30 a 34 anos";"...";"...";"74,1";"62,2"
"Amapá";"35 a 44 anos";"...";"...";"73,2";"62,4"
"Amapá";"45 a 54 anos";"...";"...";"72,8";"63,3"
"Amapá";"55 a 64 anos";"...";"...";"72,0";"64,9"
"Amapá";"65 a 74 anos";"...";"...";"63,1";"62,8"
"Amapá";"75 anos ou mais";"...";"...";"67,9";"56,8"
"Tocantins";"18 anos";"60,0";"50,7";"63,4";"53,6"
"Tocantins";"19 anos";"61,6";"50,7";"63,4";"53,6"
"Tocantins";"20 a 24 anos";"...";"...";"67,5";"57,8"
"Tocantins";"25 a 29 anos";"...";"...";"71,0";"59,3"
"Tocantins";"30 a 34 anos";"...";"...";"70,9";"62,4"
"Tocantins";"35 a 44 anos";"...";"...";"69,2";"62,2"
"Tocantins";"45 a 54 anos";"...";"...";"73,7";"61,9"
"Tocantins";"55 a 64 anos";"...";"...";"68,9";"63,8"
"Tocantins";"65 a 74 anos";"...";"...";"65,8";"59,3"
"Tocantins";"75 anos ou mais";"...";"...";"62,2";"57,2"
"Maranhão";"18 anos";"59,0";"49,0";"63,4";"51,6"
"Maranhão";"19 anos";"58,6";"51,5";"62,2";"52,3"
"Maranhão";"20 a 24 anos";"...";"...";"64,7";"54,9"
"Maranhão";"25 a 29 anos";"...";"...";"66,5";"57,3"
"Maranhão";"30 a 34 anos";"...";"...";"68,1";"57,5"
"Maranhão";"35 a 44 anos";"...";"...";"69,1";"58,7"
"Maranhão";"45 a 54 anos";"...";"...";"69,9";"60,1"
"Maranhão";"55 a 64 anos";"...";"...";"67,8";"62,0"
"Maranhão";"65 a 74 anos";"...";"...";"62,7";"57,3"
"Maranhão";"75 anos ou mais";"...";"...";"64,4";"50,9"
"Piauí";"18 anos";"56,7";"49,4";"59,1";"51,2"
"Piauí";"19 anos";"58,8";"49,7";"60,1";"53,0"
"Piauí";"20 a 24 anos";"...";"...";"64,9";"54,2"
"Piauí";"25 a 29 anos";"...";"...";"66,7";"56,5"
"Piauí";"30 a 34 anos";"...";"...";"69,3";"57,3"
"Piauí";"35 a 44 anos";"...";"...";"69,2";"60,3"
"Piauí";"45 a 54 anos";"...";"...";"67,2";"60,6"
"Piauí";"55 a 64 anos";"...";"...";"63,6";"60,6"
"Piauí";"65 a 74 anos";"...";"...";"64,0";"57,1"
"Piauí";"75 anos ou mais";"...";"...";"61,9";"54,6"
"Ceará";"18 anos";"60,1";"51,3";"60,9";"52,2"
"Ceará";"19 anos";"60,4";"52,3";"64,2";"53,2"
"Ceará";"20 a 24 anos";"...";"...";"68,0";"55,7"
"Ceará";"25 a 29 anos";"...";"...";"69,1";"57,3"
"Ceará";"30 a 34 anos";"...";"...";"70,9";"59,5"
"Ceará";"35 a 44 anos";"...";"...";"69,3";"61,3"
"Ceará";"45 a 54 anos";"...";"...";"69,4";"59,8"
"Ceará";"55 a 64 anos";"...";"...";"68,7";"62,0"
"Ceará";"65 a 74 anos";"...";"...";"65,3";"60,3"
"Ceará";"75 anos ou mais";"...";"...";"62,1";"55,2"
"Rio Grande do Norte";"18 anos";"59,6";"51,8";"65,0";"54,3"
"Rio Grande do Norte";"19 anos";"60,2";"53,5";"62,4";"53,1"
"Rio Grande do Norte";"20 a 24 anos";"...";"...";"65,7";"58,3"
"Rio Grande do Norte";"25 a 29 anos";"...";"...";"70,7";"59,0"
"Rio Grande do Norte";"30 a 34 anos";"...";"...";"71,1";"61,2"
"Rio Grande do Norte";"35 a 44 anos";"...";"...";"69,4";"61,7"
"Rio Grande do Norte";"45 a 54 anos";"...";"...";"73,8";"64,2"
"Rio Grande do Norte";"55 a 64 anos";"...";"...";"69,8";"62,7"
"Rio Grande do Norte";"65 a 74 anos";"...";"...";"66,4";"60,5"
"Rio Grande do Norte";"75 anos ou mais";"...";"...";"63,9";"57,4"
"Paraíba";"18 anos";"59,6";"52,8";"67,7";"51,6"
"Paraíba";"19 anos";"63,4";"53,5";"63,9";"52,3"
"Paraíba";"20 a 24 anos";"...";"...";"68,5";"56,8"
"Paraíba";"25 a 29 anos";"...";"...";"69,7";"59,9"
"Paraíba";"30 a 34 anos";"...";"...";"72,7";"59,2"
"Paraíba";"35 a 44 anos";"...";"...";"71,4";"62,3"
"Paraíba";"45 a 54 anos";"...";"...";"72,3";"63,5"
"Paraíba";"55 a 64 anos";"...";"...";"68,3";"63,7"
"Paraíba";"65 a 74 anos";"...";"...";"67,2";"62,1"
"Paraíba";"75 anos ou mais";"...";"...";"67,0";"60,1"
"Pernambuco";"18 anos";"61,1";"53,4";"65,8";"55,1"
"Pernambuco";"19 anos";"62,0";"53,6";"65,5";"54,2"
"Pernambuco";"20 a 24 anos";"...";"...";"67,9";"57,8"
"Pernambuco";"25 a 29 anos";"...";"...";"72,2";"59,4"
"Pernambuco";"30 a 34 anos";"...";"...";"71,9";"62,2"
"Pernambuco";"35 a 44 anos";"...";"...";"72,2";"66,1"
"Pernambuco";"45 a 54 anos";"...";"...";"72,9";"64,5"
"Pernambuco";"55 a 64 anos";"...";"...";"67,7";"66,3"
"Pernambuco";"65 a 74 anos";"...";"...";"71,1";"64,5"
"Pernambuco";"75 anos ou mais";"...";"...";"64,4";"58,7"
"Alagoas";"18 anos";"58,5";"51,4";"66,7";"55,6"
"Alagoas";"19 anos";"60,9";"54,4";"64,1";"54,6"
"Alagoas";"20 a 24 anos";"...";"...";"65,8";"56,6"
"Alagoas";"25 a 29 anos";"...";"...";"69,3";"59,5"
"Alagoas";"30 a 34 anos";"...";"...";"70,9";"60,6"
"Alagoas";"35 a 44 anos";"...";"...";"70,9";"63,1"
"Alagoas";"45 a 54 anos";"...";"...";"71,1";"63,3"
"Alagoas";"55 a 64 anos";"...";"...";"66,6";"61,8"
"Alagoas";"65 a 74 anos";"...";"...";"65,2";"61,1"
"Alagoas";"75 anos ou mais";"...";"...";"63,9";"55,6"
"Sergipe";"18 anos";"60,5";"51,1";"64,1";"54,3"
"Sergipe";"19 anos";"61,7";"54,2";"62,5";"56,2"
"Sergipe";"20 a 24 anos";"...";"...";"66,5";"56,0"
"Sergipe";"25 a 29 anos";"...";"...";"69,2";"59,4"
"Sergipe";"30 a 34 anos";"...";"...";"67,7";"60,9"
"Sergipe";"35 a 44 anos";"...";"...";"70,1";"62,0"
"Sergipe";"45 a 54 anos";"...";"...";"72,9";"65,5"
"Sergipe";"55 a 64 anos";"...";"...";"69,1";"62,9"
"Sergipe";"65 a 74 anos";"...";"...";"65,1";"56,9"
"Sergipe";"75 anos ou mais";"...";"...";"64,6";"54,6"
"Bahia";"18 anos";"59,2";"51,4";"64,5";"55,7"
"Bahia";"19 anos";"62,8";"51,9";"62,5";"54,4"
"Bahia";"20 a 24 anos";"...";"...";"66,2";"57,3"
"Bahia";"25 a 29 anos";"...";"...";"69,5";"60,5"
"Bahia";"30 a 34 anos";"...";"...";"70,3";"61,2"
"Bahia";"35 a 44 anos";"...";"...";"70,6";"62,3"
"Bahia";"45 a 54 anos";"...";"...";"71,1";"62,6"
"Bahia";"55 a 64 anos";"...";"...";"66,6";"62,8"
"Bahia";"65 a 74 anos";"...";"...";"65,0";"60,4"
"Bahia";"75 anos ou mais";"...";"...";"62,4";"55,5"
"Minas Gerais";"18 anos";"62,4";"53,9";"65,0";"54,7"
"Minas Gerais";"19 anos";"63,8";"52,5";"66,9";"57,2"
"Minas Gerais";"20 a 24 anos";"...";"...";"69,4";"57,6"
"Minas Gerais";"25 a 29 anos";"...";"...";"72,4";"59,2"
"Minas Gerais";"30 a 34 anos";"...";"...";"73,2";"61,3"
"Minas Gerais";"35 a 44 anos";"...";"...";"74,2";"63,8"
"Minas Gerais";"45 a 54 anos";"...";"...";"73,6";"64,7"
"Minas Gerais";"55 a 64 anos";"...";"...";"72,1";"64,1"
"Minas Gerais";"65 a 74 anos";"...";"...";"69,1";"62,4"
"Minas Gerais";"75 anos ou mais";"...";"...";"64,8";"57,2"
"Espírito Santo";"18 anos";"61,7";"51,0";"64,1";"57,1"
"Espírito Santo";"19 anos";"65,1";"54,8";"67,2";"57,6"
"Espírito Santo";"20 a 24 anos";"...";"...";"70,9";"58,1"
"Espírito Santo";"25 a 29 anos";"...";"...";"73,1";"61,8"
"Espírito Santo";"30 a 34 anos";"...";"...";"75,0";"62,2"
"Espírito Santo";"35 a 44 anos";"...";"...";"75,4";"64,3"
"Espírito Santo";"45 a 54 anos";"...";"...";"73,6";"65,4"
"Espírito Santo";"55 a 64 anos";"...";"...";"72,5";"65,2"
"Espírito Santo";"65 a 74 anos";"...";"...";"71,2";"61,9"
"Espírito Santo";"75 anos ou mais";"...";"...";"65,8";"60,8"
"Rio de Janeiro";"18 anos";"58,2";"54,2";"71,1";"55,6"
"Rio de Janeiro";"19 anos";"65,8";"53,7";"68,7";"59,1"
"Rio de Janeiro";"20 a 24 anos";"...";"...";"71,9";"59,1"
"Rio de Janeiro";"25 a 29 anos";"...";"...";"73,7";"62,6"
"Rio de Janeiro";"30 a 34 anos";"...";"...";"78,8";"64,3"
"Rio de Janeiro";"35 a 44 anos";"...";"...";"75,8";"66,9"
"Rio de Janeiro";"45 a 54 anos";"...";"...";"77,7";"66,0"
"Rio de Janeiro";"55 a 64 anos";"...";"...";"73,7";"65,9"
"Rio de Janeiro";"65 a 74 anos";"...";"...";"69,6";"63,1"
"Rio de Janeiro";"75 anos ou mais";"...";"...";"68,8";"61,3"
"São Paulo";"18 anos";"63,9";"57,4";"65,0";"57,8"
"São Paulo";"19 anos";"65,5";"53,8";"67,4";"58,4"
"São Paulo";"20 a 24 anos";"...";"...";"71,0";"58,3"
"São Paulo";"25 a 29 anos";"...";"...";"75,6";"61,7"
"São Paulo";"30 a 34 anos";"...";"...";"76,8";"62,4"
"São Paulo";"35 a 44 anos";"...";"...";"77,9";"63,6"
"São Paulo";"45 a 54 anos";"...";"...";"77,0";"65,6"
"São Paulo";"55 a 64 anos";"...";"...";"75,3";"67,1"
"São Paulo";"65 a 74 anos";"...";"...";"73,7";"64,6"
"São Paulo";"75 anos ou mais";"...";"...";"71,8";"61,2"
"Paraná";"18 anos";"65,5";"54,4";"66,3";"57,3"
"Paraná";"19 anos";"65,7";"55,8";"66,7";"58,0"
"Paraná";"20 a 24 anos";"...";"...";"70,4";"59,4"
"Paraná";"25 a 29 anos";"...";"...";"75,4";"61,1"
"Paraná";"30 a 34 anos";"...";"...";"74,9";"62,5"
"Paraná";"35 a 44 anos";"...";"...";"76,6";"64,4"
"Paraná";"45 a 54 anos";"...";"...";"75,5";"66,6"
"Paraná";"55 a 64 anos";"...";"...";"76,5";"66,9"
"Paraná";"65 a 74 anos";"...";"...";"71,3";"66,5"
"Paraná";"75 anos ou mais";"...";"...";"69,8";"62,4"
"Santa Catarina";"18 anos";"64,5";"55,1";"67,0";"56,1"
"Santa Catarina";"19 anos";"68,7";"53,4";"68,4";"55,3"
"Santa Catarina";"20 a 24 anos";"...";"...";"72,1";"59,3"
"Santa Catarina";"25 a 29 anos";"...";"...";"74,4";"61,3"
"Santa Catarina";"30 a 34 anos";"...";"...";"76,7";"63,8"
"Santa Catarina";"35 a 44 anos";"...";"...";"78,2";"65,0"
"Santa Catarina";"45 a 54 anos";"...";"...";"76,7";"67,9"
"Santa Catarina";"55 a 64 anos";"...";"...";"77,6";"65,6"
"Santa Catarina";"65 a 74 anos";"...";"...";"75,4";"66,1"
"Santa Catarina";"75 anos ou mais";"...";"...";"67,5";"61,8"
"Rio Grande do Sul";"18 anos";"64,5";"55,5";"67,1";"55,7"
"Rio Grande do Sul";"19 anos";"65,3";"57,0";"70,6";"58,9"
"Rio Grande do Sul";"20 a 24 anos";"...";"...";"71,9";"59,7"
"Rio Grande do Sul";"25 a 29 anos";"...";"...";"77,6";"62,0"
"Rio Grande do Sul";"30 a 34 anos";"...";"...";"77,7";"65,1"
"Rio Grande do Sul";"35 a 44 anos";"...";"...";"79,3";"66,7"
"Rio Grande do Sul";"45 a 54 anos";"...";"...";"76,9";"68,7"
"Rio Grande do Sul";"55 a 64 anos";"...";"...";"78,6";"68,3"
"Rio Grande do Sul";"65 a 74 anos";"...";"...";"74,8";"68,2"
"Rio Grande do Sul";"75 anos ou mais";"...";"...";"71,0";"65,1"
"Mato Grosso do Sul";"18 anos";"63,5";"54,0";"64,4";"55,8"
"Mato Grosso do Sul";"19 anos";"65,3";"54,6";"64,9";"56,1"
"Mato Grosso do Sul";"20 a 24 anos";"...";"...";"71,3";"58,5"
"Mato Grosso do Sul";"25 a 29 anos";"...";"...";"74,3";"62,6"
"Mato Grosso do Sul";"30 a 34 anos";"...";"...";"77,8";"64,1"
