"Tabela 3193 - Pessoas de 10 anos ou mais de idade, por estado civil, segundo o estado conjugal, a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Ano x Estado civil x Estado conjugal x Situação do domicílio"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"2010"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Casado(a)";;;"Divorciado(a)";;;"Solteiro(a)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural"
"Sul";"Homens";"Amarela";"25 a 29 anos";"1840";"1604";"236";"158";"155";"3";"5439";"4922";"517"
"Sul";"Homens";"Amarela";"30 a 34 anos";"3132";"2818";"314";"156";"150";"6";"3886";"3437";"449"
"Sul";"Homens";"Amarela";"35 a 39 anos";"3438";"2962";"476";"328";"304";"24";"2394";"2097";"297"
"Sul";"Homens";"Amarela";"40 a 44 anos";"4203";"3701";"503";"297";"273";"23";"1548";"1348";"201"
"Sul";"Homens";"Amarela";"45 a 49 anos";"4180";"3642";"539";"430";"364";"66";"1195";"927";"269"
"Sul";"Homens";"Amarela";"50 a 54 anos";"3683";"3226";"457";"213";"202";"11";"737";"533";"204"
"Sul";"Homens";"Amarela";"55 a 59 anos";"4194";"3671";"523";"283";"223";"60";"703";"592";"111"
"Sul";"Homens";"Amarela";"60 a 64 anos";"3665";"3056";"609";"266";"244";"21";"461";"367";"94"
"Sul";"Homens";"Amarela";"65 a 69 anos";"2833";"2295";"538";"144";"141";"4";"168";"117";"51"
"Sul";"Homens";"Amarela";"70 a 74 anos";"2183";"1840";"343";"90";"71";"19";"117";"101";"16"
"Sul";"Homens";"Amarela";"75 a 79 anos";"1401";"1225";"176";"24";"22";"2";"154";"124";"29"
"Sul";"Homens";"Amarela";"80 anos ou mais";"1337";"1161";"177";"8";"-";"8";"129";"89";"40"
"Sul";"Homens";"Parda";"18 e 19 anos";"1843";"1644";"199";"63";"60";"3";"90681";"77882";"12799"
"Sul";"Homens";"Parda";"20 a 24 anos";"22700";"19794";"2905";"668";"580";"89";"189937";"165095";"24842"
"Sul";"Homens";"Parda";"25 a 29 anos";"49089";"42786";"6302";"1635";"1472";"163";"146197";"126159";"20038"
"Sul";"Homens";"Parda";"30 a 34 anos";"69137";"59433";"9704";"3768";"3428";"340";"110455";"94513";"15942"
"Sul";"Homens";"Parda";"35 a 39 anos";"79084";"66410";"12674";"6040";"5560";"480";"83641";"70436";"13206"
"Sul";"Homens";"Parda";"40 a 44 anos";"89306";"74465";"14841";"8079";"7306";"774";"60882";"50877";"10004"
"Sul";"Homens";"Parda";"45 a 49 anos";"86872";"71778";"15094";"9356";"8596";"760";"40924";"33846";"7078"
"Sul";"Homens";"Parda";"50 a 54 anos";"75932";"61198";"14734";"8958";"8041";"917";"25687";"20984";"4702"
"Sul";"Homens";"Parda";"55 a 59 anos";"62642";"49769";"12873";"6452";"5675";"778";"15339";"11748";"3591"
"Sul";"Homens";"Parda";"60 a 64 anos";"48398";"38632";"9766";"4737";"4074";"663";"9245";"7029";"2215"
"Sul";"Homens";"Parda";"65 a 69 anos";"35760";"28206";"7554";"2814";"2432";"382";"6390";"4664";"1726"
"Sul";"Homens";"Parda";"70 a 74 anos";"23304";"18605";"4699";"1656";"1430";"226";"4285";"3144";"1141"
"Sul";"Homens";"Parda";"75 a 79 anos";"14335";"11574";"2761";"664";"574";"90";"2385";"1756";"629"
"Sul";"Homens";"Parda";"80 anos ou mais";"9324";"7467";"1857";"375";"307";"68";"1986";"1471";"515"
"Sul";"Homens";"Indígena";"18 e 19 anos";"146";"27";"119";"2";"-";"2";"1338";"613";"725"
"Sul";"Homens";"Indígena";"20 a 24 anos";"646";"208";"439";"13";"11";"1";"2871";"1359";"1512"
"Sul";"Homens";"Indígena";"25 a 29 anos";"697";"376";"320";"9";"-";"9";"2130";"1031";"1099"
"Sul";"Homens";"Indígena";"30 a 34 anos";"812";"421";"391";"41";"41";"-";"1810";"989";"822"
"Sul";"Homens";"Indígena";"35 a 39 anos";"1161";"658";"504";"59";"26";"32";"1251";"650";"601"
"Sul";"Homens";"Indígena";"40 a 44 anos";"960";"585";"375";"79";"77";"2";"921";"531";"390"
"Sul";"Homens";"Indígena";"45 a 49 anos";"970";"690";"280";"131";"113";"18";"806";"487";"319"
"Sul";"Homens";"Indígena";"50 a 54 anos";"837";"654";"183";"121";"105";"16";"487";"257";"231"
"Sul";"Homens";"Indígena";"55 a 59 anos";"793";"619";"174";"163";"136";"27";"348";"112";"237"
"Sul";"Homens";"Indígena";"60 a 64 anos";"636";"415";"221";"106";"100";"6";"240";"79";"161"
"Sul";"Homens";"Indígena";"65 a 69 anos";"458";"339";"120";"8";"5";"3";"179";"86";"93"
"Sul";"Homens";"Indígena";"70 a 74 anos";"329";"262";"67";"31";"28";"3";"67";"9";"58"
"Sul";"Homens";"Indígena";"75 a 79 anos";"141";"105";"36";"-";"-";"-";"32";"8";"24"
"Sul";"Homens";"Indígena";"80 anos ou mais";"147";"91";"57";"18";"5";"13";"172";"28";"143"
"Sul";"Homens";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"6";"6";"-"
"Sul";"Homens";"Sem declaração";"20 a 24 anos";"-";"-";"-";"-";"-";"-";"43";"43";"-"
"Sul";"Homens";"Sem declaração";"25 a 29 anos";"-";"-";"-";"-";"-";"-";"24";"24";"-"
"Sul";"Homens";"Sem declaração";"30 a 34 anos";"35";"35";"-";"-";"-";"-";"34";"34";"-"
"Sul";"Homens";"Sem declaração";"35 a 39 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"40 a 44 anos";"65";"65";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"45 a 49 anos";"11";"11";"-";"-";"-";"-";"10";"10";"-"
"Sul";"Homens";"Sem declaração";"50 a 54 anos";"24";"24";"-";"-";"-";"-";"28";"28";"-"
"Sul";"Homens";"Sem declaração";"55 a 59 anos";"-";"-";"-";"10";"10";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"60 a 64 anos";"6";"6";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"65 a 69 anos";"19";"19";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"70 a 74 anos";"-";"-";"-";"-";"-";"-";"9";"9";"-"
"Sul";"Homens";"Sem declaração";"75 a 79 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Homens";"Sem declaração";"80 anos ou mais";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Branca";"18 e 19 anos";"26769";"21214";"5555";"379";"330";"49";"324858";"284002";"40857"
"Sul";"Mulheres";"Branca";"20 a 24 anos";"175436";"143639";"31797";"4829";"4342";"488";"724133";"649369";"74764"
"Sul";"Mulheres";"Branca";"25 a 29 anos";"334950";"283262";"51688";"15496";"14259";"1237";"563608";"512536";"51072"
"Sul";"Mulheres";"Branca";"30 a 34 anos";"414135";"351185";"62950";"31208";"29327";"1881";"383245";"348067";"35178"
"Sul";"Mulheres";"Branca";"35 a 39 anos";"445366";"369409";"75957";"44628";"42165";"2463";"266736";"241419";"25317"
"Sul";"Mulheres";"Branca";"40 a 44 anos";"486716";"399634";"87082";"61802";"58763";"3038";"203506";"184521";"18985"
"Sul";"Mulheres";"Branca";"45 a 49 anos";"497615";"406715";"90900";"69823";"66874";"2948";"150889";"136505";"14384"
"Sul";"Mulheres";"Branca";"50 a 54 anos";"430537";"348070";"82467";"61956";"59301";"2656";"107464";"97357";"10107"
"Sul";"Mulheres";"Branca";"55 a 59 anos";"354435";"283185";"71251";"47311";"45250";"2061";"73276";"65478";"7797"
"Sul";"Mulheres";"Branca";"60 a 64 anos";"264638";"209292";"55346";"31413";"30112";"1301";"50199";"44704";"5495"
"Sul";"Mulheres";"Branca";"65 a 69 anos";"177059";"138688";"38371";"17196";"16435";"761";"32126";"28720";"3407"
"Sul";"Mulheres";"Branca";"70 a 74 anos";"113181";"89245";"23936";"9444";"9030";"414";"22720";"20124";"2596"
"Sul";"Mulheres";"Branca";"75 a 79 anos";"62713";"49459";"13254";"4345";"4139";"207";"14619";"12908";"1711"
"Sul";"Mulheres";"Branca";"80 anos ou mais";"36279";"29235";"7044";"2271";"2199";"72";"18110";"15840";"2269"
"Sul";"Mulheres";"Preta";"18 e 19 anos";"1128";"955";"173";"34";"31";"3";"16555";"15110";"1445"
"Sul";"Mulheres";"Preta";"20 a 24 anos";"6430";"5582";"848";"271";"234";"37";"40361";"37346";"3015"
"Sul";"Mulheres";"Preta";"25 a 29 anos";"11953";"10539";"1414";"525";"498";"27";"36661";"33801";"2860"
"Sul";"Mulheres";"Preta";"30 a 34 anos";"13927";"12336";"1590";"1208";"1081";"128";"29873";"27594";"2279"
"Sul";"Mulheres";"Preta";"35 a 39 anos";"15900";"13991";"1909";"1646";"1552";"94";"22192";"20496";"1696"
"Sul";"Mulheres";"Preta";"40 a 44 anos";"16448";"14380";"2068";"2397";"2283";"114";"17881";"16436";"1444"
"Sul";"Mulheres";"Preta";"45 a 49 anos";"16816";"14909";"1907";"2929";"2795";"134";"14546";"13568";"978"
"Sul";"Mulheres";"Preta";"50 a 54 anos";"15892";"13751";"2141";"2772";"2671";"101";"9282";"8545";"738"
"Sul";"Mulheres";"Preta";"55 a 59 anos";"11983";"10489";"1494";"2034";"1981";"53";"7089";"6530";"559"
"Sul";"Mulheres";"Preta";"60 a 64 anos";"8817";"7787";"1029";"1157";"1142";"16";"4544";"4157";"388"
"Sul";"Mulheres";"Preta";"65 a 69 anos";"5259";"4549";"710";"593";"556";"37";"2838";"2690";"148"
"Sul";"Mulheres";"Preta";"70 a 74 anos";"2797";"2453";"344";"395";"378";"18";"2056";"1846";"210"
"Sul";"Mulheres";"Preta";"75 a 79 anos";"1603";"1404";"199";"157";"151";"6";"1221";"1112";"109"
"Sul";"Mulheres";"Preta";"80 anos ou mais";"1157";"974";"182";"68";"49";"19";"1205";"1092";"113"
"Sul";"Mulheres";"Amarela";"18 e 19 anos";"162";"125";"38";"5";"5";"-";"2538";"2336";"203"
"Sul";"Mulheres";"Amarela";"20 a 24 anos";"1331";"1122";"208";"31";"31";"-";"6839";"6272";"567"
"Sul";"Mulheres";"Amarela";"25 a 29 anos";"2481";"2231";"249";"173";"170";"2";"5123";"4597";"526"
"Sul";"Mulheres";"Amarela";"30 a 34 anos";"3683";"3292";"391";"424";"395";"29";"3673";"3313";"360"
"Sul";"Mulheres";"Amarela";"35 a 39 anos";"4247";"3746";"500";"335";"316";"19";"2294";"2076";"218"
"Sul";"Mulheres";"Amarela";"40 a 44 anos";"3654";"3275";"379";"664";"618";"46";"2027";"1837";"191"
"Sul";"Mulheres";"Amarela";"45 a 49 anos";"3904";"3443";"461";"543";"532";"11";"1332";"1206";"127"
"Sul";"Mulheres";"Amarela";"50 a 54 anos";"3548";"3108";"441";"509";"483";"27";"1108";"1030";"79"
"Sul";"Mulheres";"Amarela";"55 a 59 anos";"3426";"2946";"480";"369";"351";"18";"806";"743";"63"
"Sul";"Mulheres";"Amarela";"60 a 64 anos";"2881";"2389";"492";"289";"279";"10";"638";"609";"28"
"Sul";"Mulheres";"Amarela";"65 a 69 anos";"2411";"2076";"335";"192";"183";"9";"328";"311";"17"
"Sul";"Mulheres";"Amarela";"70 a 74 anos";"1489";"1238";"251";"76";"72";"4";"235";"216";"19"
"Sul";"Mulheres";"Amarela";"75 a 79 anos";"1073";"911";"162";"18";"15";"3";"148";"126";"22"
"Sul";"Mulheres";"Amarela";"80 anos ou mais";"513";"443";"70";"54";"48";"6";"174";"151";"23"
"Sul";"Mulheres";"Parda";"18 e 19 anos";"6995";"5778";"1217";"134";"132";"2";"75474";"65682";"9792"
"Sul";"Mulheres";"Parda";"20 a 24 anos";"38957";"32989";"5968";"1221";"1106";"115";"149507";"132463";"17044"
"Sul";"Mulheres";"Parda";"25 a 29 anos";"59797";"50738";"9060";"2724";"2527";"197";"115827";"102230";"13598"
"Sul";"Mulheres";"Parda";"30 a 34 anos";"74033";"62514";"11519";"5369";"4872";"498";"90371";"79326";"11045"
"Sul";"Mulheres";"Parda";"35 a 39 anos";"82168";"68115";"14052";"7667";"7123";"544";"69785";"61104";"8681"
"Sul";"Mulheres";"Parda";"40 a 44 anos";"85906";"71744";"14161";"10304";"9769";"535";"48915";"43260";"5655"
"Sul";"Mulheres";"Parda";"45 a 49 anos";"80491";"66396";"14095";"10478";"9789";"689";"34656";"30650";"4006"
"Sul";"Mulheres";"Parda";"50 a 54 anos";"67755";"55204";"12551";"8944";"8385";"559";"23638";"21078";"2559"
"Sul";"Mulheres";"Parda";"55 a 59 anos";"53105";"43018";"10087";"7121";"6750";"371";"14889";"13314";"1574"
"Sul";"Mulheres";"Parda";"60 a 64 anos";"35983";"29070";"6913";"4090";"3820";"270";"9656";"8514";"1141"
"Sul";"Mulheres";"Parda";"65 a 69 anos";"24706";"19909";"4797";"2795";"2666";"128";"6553";"5643";"910"
"Sul";"Mulheres";"Parda";"70 a 74 anos";"13836";"11196";"2640";"1071";"1005";"66";"4179";"3591";"588"
"Sul";"Mulheres";"Parda";"75 a 79 anos";"6650";"5352";"1298";"472";"431";"42";"2599";"2118";"481"
"Sul";"Mulheres";"Parda";"80 anos ou mais";"3355";"2743";"612";"198";"177";"21";"2464";"2055";"409"
"Sul";"Mulheres";"Indígena";"18 e 19 anos";"230";"49";"181";"4";"-";"4";"1266";"487";"779"
"Sul";"Mulheres";"Indígena";"20 a 24 anos";"623";"246";"377";"23";"14";"10";"2397";"1214";"1183"
"Sul";"Mulheres";"Indígena";"25 a 29 anos";"959";"504";"455";"46";"25";"21";"2003";"913";"1089"
"Sul";"Mulheres";"Indígena";"30 a 34 anos";"851";"428";"423";"82";"66";"16";"1416";"732";"684"
"Sul";"Mulheres";"Indígena";"35 a 39 anos";"996";"549";"447";"125";"97";"28";"1273";"702";"571"
"Sul";"Mulheres";"Indígena";"40 a 44 anos";"924";"629";"295";"174";"133";"42";"875";"524";"351"
"Sul";"Mulheres";"Indígena";"45 a 49 anos";"813";"572";"242";"187";"186";"1";"553";"312";"241"
"Sul";"Mulheres";"Indígena";"50 a 54 anos";"927";"667";"260";"90";"77";"13";"520";"315";"206"
"Sul";"Mulheres";"Indígena";"55 a 59 anos";"547";"407";"140";"97";"58";"38";"295";"162";"132"
"Sul";"Mulheres";"Indígena";"60 a 64 anos";"450";"344";"106";"59";"59";"-";"282";"147";"135"
"Sul";"Mulheres";"Indígena";"65 a 69 anos";"352";"260";"92";"114";"110";"4";"169";"51";"118"
"Sul";"Mulheres";"Indígena";"70 a 74 anos";"165";"86";"79";"17";"17";"-";"111";"58";"53"
"Sul";"Mulheres";"Indígena";"75 a 79 anos";"87";"39";"47";"37";"35";"2";"122";"83";"39"
"Sul";"Mulheres";"Indígena";"80 anos ou mais";"61";"42";"19";"23";"21";"2";"195";"65";"129"
"Sul";"Mulheres";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"20 a 24 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"25 a 29 anos";"5";"5";"-";"-";"-";"-";"47";"47";"-"
"Sul";"Mulheres";"Sem declaração";"30 a 34 anos";"25";"25";"-";"-";"-";"-";"11";"11";"-"
"Sul";"Mulheres";"Sem declaração";"35 a 39 anos";"29";"29";"-";"-";"-";"-";"4";"4";"-"
"Sul";"Mulheres";"Sem declaração";"40 a 44 anos";"20";"20";"-";"-";"-";"-";"11";"11";"-"
"Sul";"Mulheres";"Sem declaração";"45 a 49 anos";"17";"17";"-";"-";"-";"-";"49";"49";"-"
"Sul";"Mulheres";"Sem declaração";"50 a 54 anos";"12";"12";"-";"22";"22";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"55 a 59 anos";"22";"22";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"60 a 64 anos";"7";"7";"-";"11";"11";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"65 a 69 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"70 a 74 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"75 a 79 anos";"5";"5";"-";"-";"-";"-";"-";"-";"-"
"Sul";"Mulheres";"Sem declaração";"80 anos ou mais";"-";"-";"-";"-";"-";"-";"10";"10";"-"
"Centro-Oeste";"Homens";"Branca";"18 e 19 anos";"1679";"1435";"244";"20";"20";"-";"91714";"83382";"8333"
"Centro-Oeste";"Homens";"Branca";"20 a 24 anos";"26316";"23910";"2406";"642";"582";"60";"225758";"207767";"17991"
"Centro-Oeste";"Homens";"Branca";"25 a 29 anos";"72718";"66597";"6121";"2907";"2724";"183";"179799";"163857";"15942"
"Centro-Oeste";"Homens";"Branca";"30 a 34 anos";"105116";"95922";"9194";"6570";"6082";"489";"123872";"111047";"12825"
"Centro-Oeste";"Homens";"Branca";"35 a 39 anos";"113925";"103122";"10803";"8539";"8049";"491";"84209";"73575";"10634"
"Centro-Oeste";"Homens";"Branca";"40 a 44 anos";"117880";"104926";"12954";"11473";"10708";"765";"65054";"56403";"8652"
"Centro-Oeste";"Homens";"Branca";"45 a 49 anos";"115231";"101848";"13382";"14066";"13039";"1027";"43812";"37660";"6152"
"Centro-Oeste";"Homens";"Branca";"50 a 54 anos";"101003";"88871";"12132";"13049";"11826";"1223";"28058";"23723";"4334"
"Centro-Oeste";"Homens";"Branca";"55 a 59 anos";"84589";"72858";"11730";"10761";"9699";"1062";"17998";"14755";"3242"
"Centro-Oeste";"Homens";"Branca";"60 a 64 anos";"64790";"55364";"9427";"7789";"6800";"990";"11171";"9098";"2074"
"Centro-Oeste";"Homens";"Branca";"65 a 69 anos";"47850";"40068";"7782";"5222";"4721";"501";"8138";"6682";"1456"
"Centro-Oeste";"Homens";"Branca";"70 a 74 anos";"35639";"30242";"5397";"2789";"2413";"376";"5418";"4511";"907"
"Centro-Oeste";"Homens";"Branca";"75 a 79 anos";"21722";"18705";"3016";"1429";"1232";"197";"3331";"2754";"577"
"Centro-Oeste";"Homens";"Branca";"80 anos ou mais";"18531";"16375";"2155";"901";"841";"60";"2909";"2407";"502"
"Centro-Oeste";"Homens";"Preta";"18 e 19 anos";"353";"299";"54";"12";"12";"-";"17952";"16179";"1773"
"Centro-Oeste";"Homens";"Preta";"20 a 24 anos";"5460";"4910";"550";"209";"145";"64";"46602";"42325";"4277"
"Centro-Oeste";"Homens";"Preta";"25 a 29 anos";"14421";"13409";"1013";"430";"413";"17";"40045";"35802";"4243"
"Centro-Oeste";"Homens";"Preta";"30 a 34 anos";"18876";"17630";"1246";"882";"799";"84";"33438";"29757";"3680"
"Centro-Oeste";"Homens";"Preta";"35 a 39 anos";"19483";"17767";"1716";"1381";"1309";"72";"24338";"21396";"2942"
"Centro-Oeste";"Homens";"Preta";"40 a 44 anos";"19729";"17974";"1755";"1548";"1408";"140";"18575";"15964";"2612"
"Centro-Oeste";"Homens";"Preta";"45 a 49 anos";"18100";"16215";"1884";"2233";"2022";"210";"13888";"11809";"2078"
"Centro-Oeste";"Homens";"Preta";"50 a 54 anos";"15833";"13901";"1932";"2137";"1905";"231";"8552";"6997";"1555"
"Centro-Oeste";"Homens";"Preta";"55 a 59 anos";"11597";"9958";"1639";"1517";"1351";"166";"5343";"4106";"1237"
"Centro-Oeste";"Homens";"Preta";"60 a 64 anos";"8779";"7277";"1502";"925";"809";"116";"3608";"2731";"876"
"Centro-Oeste";"Homens";"Preta";"65 a 69 anos";"6004";"5234";"770";"757";"724";"34";"2596";"2050";"546"
"Centro-Oeste";"Homens";"Preta";"70 a 74 anos";"4441";"3803";"638";"342";"282";"60";"1740";"1368";"372"
"Centro-Oeste";"Homens";"Preta";"75 a 79 anos";"2598";"2296";"302";"155";"119";"36";"800";"628";"172"
"Centro-Oeste";"Homens";"Preta";"80 anos ou mais";"2149";"1903";"246";"124";"74";"49";"973";"855";"118"
"Centro-Oeste";"Homens";"Amarela";"18 e 19 anos";"117";"108";"9";"11";"11";"-";"2830";"2689";"140"
"Centro-Oeste";"Homens";"Amarela";"20 a 24 anos";"1444";"1398";"47";"22";"18";"4";"8523";"7972";"551"
"Centro-Oeste";"Homens";"Amarela";"25 a 29 anos";"2991";"2831";"160";"48";"38";"9";"7068";"6510";"557"
"Centro-Oeste";"Homens";"Amarela";"30 a 34 anos";"4148";"3888";"260";"323";"318";"5";"4200";"3811";"389"
"Centro-Oeste";"Homens";"Amarela";"35 a 39 anos";"3905";"3513";"392";"191";"146";"44";"2809";"2444";"365"
"Centro-Oeste";"Homens";"Amarela";"40 a 44 anos";"3667";"3410";"257";"441";"416";"25";"2089";"1887";"202"
"Centro-Oeste";"Homens";"Amarela";"45 a 49 anos";"3486";"3130";"355";"310";"279";"31";"1294";"1077";"217"
"Centro-Oeste";"Homens";"Amarela";"50 a 54 anos";"2985";"2750";"235";"299";"288";"11";"1040";"906";"134"
"Centro-Oeste";"Homens";"Amarela";"55 a 59 anos";"2315";"2012";"303";"208";"186";"22";"593";"458";"135"
"Centro-Oeste";"Homens";"Amarela";"60 a 64 anos";"1641";"1398";"243";"175";"164";"10";"369";"287";"83"
"Centro-Oeste";"Homens";"Amarela";"65 a 69 anos";"1650";"1469";"181";"111";"86";"25";"334";"289";"45"
"Centro-Oeste";"Homens";"Amarela";"70 a 74 anos";"994";"831";"164";"30";"25";"5";"215";"188";"27"
"Centro-Oeste";"Homens";"Amarela";"75 a 79 anos";"778";"677";"101";"64";"58";"5";"87";"75";"12"
"Centro-Oeste";"Homens";"Amarela";"80 anos ou mais";"457";"412";"46";"25";"25";"-";"72";"57";"15"
"Centro-Oeste";"Homens";"Parda";"18 e 19 anos";"2835";"2542";"294";"49";"49";"-";"128103";"114887";"13216"
"Centro-Oeste";"Homens";"Parda";"20 a 24 anos";"34904";"31428";"3475";"944";"847";"98";"297694";"268412";"29282"
"Centro-Oeste";"Homens";"Parda";"25 a 29 anos";"83182";"74896";"8286";"3054";"2801";"253";"240576";"214504";"26072"
"Centro-Oeste";"Homens";"Parda";"30 a 34 anos";"115666";"103463";"12203";"6522";"6041";"481";"182345";"159679";"22666"
"Centro-Oeste";"Homens";"Parda";"35 a 39 anos";"123817";"109901";"13916";"8959";"8169";"790";"134400";"116202";"18198"
"Centro-Oeste";"Homens";"Parda";"40 a 44 anos";"124334";"108431";"15903";"12281";"11104";"1176";"97396";"82327";"15070"
"Centro-Oeste";"Homens";"Parda";"45 a 49 anos";"113878";"98419";"15459";"12250";"11170";"1080";"66263";"55190";"11072"
"Centro-Oeste";"Homens";"Parda";"50 a 54 anos";"94996";"80884";"14112";"11987";"10628";"1359";"43293";"34911";"8382"
"Centro-Oeste";"Homens";"Parda";"55 a 59 anos";"77873";"64860";"13013";"9574";"8544";"1030";"26767";"21388";"5379"
"Centro-Oeste";"Homens";"Parda";"60 a 64 anos";"56556";"46469";"10088";"6606";"5755";"851";"16702";"12925";"3776"
"Centro-Oeste";"Homens";"Parda";"65 a 69 anos";"41885";"33936";"7949";"4502";"3923";"580";"10622";"8197";"2424"
"Centro-Oeste";"Homens";"Parda";"70 a 74 anos";"30875";"26072";"4803";"2510";"2211";"299";"7388";"5755";"1633"
"Centro-Oeste";"Homens";"Parda";"75 a 79 anos";"15671";"13244";"2427";"1504";"1382";"122";"4312";"3520";"791"
"Centro-Oeste";"Homens";"Parda";"80 anos ou mais";"12662";"10851";"1810";"639";"560";"79";"3696";"2866";"830"
"Centro-Oeste";"Homens";"Indígena";"18 e 19 anos";"181";"-";"181";"-";"-";"-";"2502";"633";"1869"
"Centro-Oeste";"Homens";"Indígena";"20 a 24 anos";"967";"133";"834";"13";"13";"-";"4933";"1694";"3239"
"Centro-Oeste";"Homens";"Indígena";"25 a 29 anos";"1356";"342";"1014";"33";"5";"28";"3478";"1258";"2220"
"Centro-Oeste";"Homens";"Indígena";"30 a 34 anos";"1745";"513";"1232";"18";"18";"-";"2393";"726";"1667"
"Centro-Oeste";"Homens";"Indígena";"35 a 39 anos";"1704";"599";"1105";"133";"133";"-";"1940";"644";"1296"
"Centro-Oeste";"Homens";"Indígena";"40 a 44 anos";"1311";"585";"726";"58";"32";"26";"1465";"668";"797"
"Centro-Oeste";"Homens";"Indígena";"45 a 49 anos";"1109";"478";"631";"78";"65";"13";"1106";"438";"668"
"Centro-Oeste";"Homens";"Indígena";"50 a 54 anos";"899";"405";"493";"41";"41";"-";"740";"308";"432"
"Centro-Oeste";"Homens";"Indígena";"55 a 59 anos";"859";"619";"240";"66";"62";"4";"609";"185";"424"
"Centro-Oeste";"Homens";"Indígena";"60 a 64 anos";"667";"382";"285";"3";"-";"3";"421";"168";"253"
"Centro-Oeste";"Homens";"Indígena";"65 a 69 anos";"386";"221";"164";"29";"19";"10";"309";"77";"233"
"Centro-Oeste";"Homens";"Indígena";"70 a 74 anos";"446";"241";"205";"9";"9";"-";"318";"52";"266"
"Centro-Oeste";"Homens";"Indígena";"75 a 79 anos";"236";"152";"84";"28";"-";"28";"278";"45";"233"
"Centro-Oeste";"Homens";"Indígena";"80 anos ou mais";"326";"84";"243";"-";"-";"-";"407";"62";"345"
"Centro-Oeste";"Homens";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"56";"56";"-"
"Centro-Oeste";"Homens";"Sem declaração";"20 a 24 anos";"-";"-";"-";"-";"-";"-";"57";"57";"-"
"Centro-Oeste";"Homens";"Sem declaração";"25 a 29 anos";"37";"37";"-";"10";"10";"-";"222";"216";"5"
"Centro-Oeste";"Homens";"Sem declaração";"30 a 34 anos";"47";"47";"-";"10";"10";"-";"55";"55";"-"
"Centro-Oeste";"Homens";"Sem declaração";"35 a 39 anos";"49";"33";"17";"9";"9";"-";"33";"28";"5"
"Centro-Oeste";"Homens";"Sem declaração";"40 a 44 anos";"36";"36";"-";"26";"-";"26";"80";"80";"-"
"Centro-Oeste";"Homens";"Sem declaração";"45 a 49 anos";"36";"7";"29";"-";"-";"-";"34";"34";"-"
"Centro-Oeste";"Homens";"Sem declaração";"50 a 54 anos";"4";"4";"-";"-";"-";"-";"35";"35";"-"
"Centro-Oeste";"Homens";"Sem declaração";"55 a 59 anos";"18";"14";"4";"-";"-";"-";"19";"19";"-"
"Centro-Oeste";"Homens";"Sem declaração";"60 a 64 anos";"13";"13";"-";"-";"-";"-";"-";"-";"-"
"Centro-Oeste";"Homens";"Sem declaração";"65 a 69 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Centro-Oeste";"Homens";"Sem declaração";"70 a 74 anos";"10";"10";"-";"-";"-";"-";"-";"-";"-"
"Centro-Oeste";"Homens";"Sem declaração";"75 a 79 anos";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Centro-Oeste";"Homens";"Sem declaração";"80 anos ou mais";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Centro-Oeste";"Mulheres";"Branca";"18 e 19 anos";"8108";"6994";"1114";"144";"131";"13";"88132";"82015";"6118"
"Centro-Oeste";"Mulheres";"Branca";"20 a 24 anos";"53987";"48855";"5132";"1783";"1696";"87";"204231";"192244";"11988"
