"Tabela 3193 - Pessoas de 10 anos ou mais de idade, por estado civil, segundo o estado conjugal, a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Ano x Estado civil x Estado conjugal x Situação do domicílio"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"2010"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Casado(a)";;;"Divorciado(a)";;;"Solteiro(a)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Grupo de idade";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural";"Total";"Urbana";"Rural"
"Brasil";"Homens";"Parda";"20 a 24 anos";"365201";"300372";"64829";"7976";"6963";"1013";"3593135";"2891979";"701156"
"Brasil";"Homens";"Parda";"25 a 29 anos";"865212";"724357";"140855";"24871";"22555";"2316";"2816353";"2280272";"536081"
"Brasil";"Homens";"Parda";"30 a 34 anos";"1186516";"993725";"192791";"53630";"49549";"4081";"2082008";"1671569";"410439"
"Brasil";"Homens";"Parda";"35 a 39 anos";"1280491";"1065062";"215429";"75951";"69762";"6189";"1513607";"1204558";"309048"
"Brasil";"Homens";"Parda";"40 a 44 anos";"1338410";"1097837";"240573";"100122";"91239";"8883";"1145046";"904595";"240451"
"Brasil";"Homens";"Parda";"45 a 49 anos";"1277544";"1036380";"241164";"112921";"102749";"10172";"794527";"622486";"172041"
"Brasil";"Homens";"Parda";"50 a 54 anos";"1127971";"906942";"221029";"110298";"99460";"10838";"529367";"409924";"119443"
"Brasil";"Homens";"Parda";"55 a 59 anos";"959534";"753034";"206499";"85386";"75998";"9388";"333553";"247188";"86364"
"Brasil";"Homens";"Parda";"60 a 64 anos";"747234";"574120";"173114";"58345";"51211";"7135";"217816";"154717";"63099"
"Brasil";"Homens";"Parda";"65 a 69 anos";"543015";"411415";"131600";"36354";"31767";"4587";"149392";"101907";"47486"
"Brasil";"Homens";"Parda";"70 a 74 anos";"390395";"297159";"93236";"21533";"18770";"2762";"97582";"66603";"30979"
"Brasil";"Homens";"Parda";"75 a 79 anos";"226093";"173018";"53075";"10513";"9306";"1208";"57209";"38598";"18611"
"Brasil";"Homens";"Parda";"80 anos ou mais";"197293";"148371";"48921";"6180";"5394";"786";"55995";"36530";"19465"
"Brasil";"Homens";"Indígena";"18 e 19 anos";"705";"90";"615";"14";"-";"14";"15337";"5310";"10027"
"Brasil";"Homens";"Indígena";"20 a 24 anos";"4410";"1383";"3027";"42";"27";"15";"32680";"13060";"19620"
"Brasil";"Homens";"Indígena";"25 a 29 anos";"6757";"3051";"3706";"159";"73";"86";"25472";"10695";"14777"
"Brasil";"Homens";"Indígena";"30 a 34 anos";"8880";"4393";"4487";"248";"200";"49";"19074";"8242";"10832"
"Brasil";"Homens";"Indígena";"35 a 39 anos";"9312";"4736";"4577";"501";"384";"117";"14768";"6394";"8373"
"Brasil";"Homens";"Indígena";"40 a 44 anos";"8623";"4806";"3816";"479";"410";"70";"10688";"4641";"6047"
"Brasil";"Homens";"Indígena";"45 a 49 anos";"8249";"4913";"3336";"720";"623";"96";"7974";"3674";"4300"
"Brasil";"Homens";"Indígena";"50 a 54 anos";"7450";"4890";"2561";"666";"591";"74";"5926";"2618";"3308"
"Brasil";"Homens";"Indígena";"55 a 59 anos";"6457";"4300";"2156";"711";"599";"112";"4236";"1635";"2601"
"Brasil";"Homens";"Indígena";"60 a 64 anos";"5092";"3127";"1965";"388";"369";"19";"3166";"1125";"2041"
"Brasil";"Homens";"Indígena";"65 a 69 anos";"3712";"2305";"1407";"216";"159";"57";"2549";"753";"1796"
"Brasil";"Homens";"Indígena";"70 a 74 anos";"3047";"1745";"1301";"191";"183";"8";"1685";"445";"1240"
"Brasil";"Homens";"Indígena";"75 a 79 anos";"1650";"949";"701";"66";"26";"41";"1056";"297";"759"
"Brasil";"Homens";"Indígena";"80 anos ou mais";"1637";"767";"871";"45";"18";"27";"1437";"251";"1186"
"Brasil";"Homens";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"485";"335";"150"
"Brasil";"Homens";"Sem declaração";"20 a 24 anos";"68";"49";"19";"34";"34";"-";"3303";"1850";"1452"
"Brasil";"Homens";"Sem declaração";"25 a 29 anos";"391";"245";"146";"26";"21";"5";"3831";"2285";"1546"
"Brasil";"Homens";"Sem declaração";"30 a 34 anos";"407";"299";"109";"30";"30";"-";"2458";"1744";"714"
"Brasil";"Homens";"Sem declaração";"35 a 39 anos";"488";"395";"93";"28";"28";"-";"1203";"770";"433"
"Brasil";"Homens";"Sem declaração";"40 a 44 anos";"466";"442";"24";"50";"17";"33";"989";"712";"277"
"Brasil";"Homens";"Sem declaração";"45 a 49 anos";"296";"250";"45";"58";"55";"3";"509";"348";"160"
"Brasil";"Homens";"Sem declaração";"50 a 54 anos";"226";"213";"13";"9";"9";"-";"372";"287";"86"
"Brasil";"Homens";"Sem declaração";"55 a 59 anos";"117";"102";"15";"28";"28";"-";"263";"219";"44"
"Brasil";"Homens";"Sem declaração";"60 a 64 anos";"176";"176";"-";"56";"56";"-";"193";"163";"31"
"Brasil";"Homens";"Sem declaração";"65 a 69 anos";"34";"31";"3";"44";"44";"-";"81";"78";"3"
"Brasil";"Homens";"Sem declaração";"70 a 74 anos";"24";"24";"-";"-";"-";"-";"66";"57";"9"
"Brasil";"Homens";"Sem declaração";"75 a 79 anos";"-";"-";"-";"4";"4";"-";"12";"12";"-"
"Brasil";"Homens";"Sem declaração";"80 anos ou mais";"13";"13";"-";"31";"31";"-";"-";"-";"-"
"Brasil";"Mulheres";"Branca";"18 e 19 anos";"102134";"82584";"19550";"1773";"1609";"164";"1367276";"1217408";"149868"
"Brasil";"Mulheres";"Branca";"20 a 24 anos";"736726";"632350";"104376";"21492";"19980";"1512";"3162016";"2874428";"287588"
"Brasil";"Mulheres";"Branca";"25 a 29 anos";"1464331";"1300243";"164088";"71225";"67149";"4076";"2467101";"2261913";"205188"
"Brasil";"Mulheres";"Branca";"30 a 34 anos";"1828316";"1633018";"195297";"145004";"138793";"6210";"1709343";"1558500";"150843"
"Brasil";"Mulheres";"Branca";"35 a 39 anos";"1875139";"1660442";"214697";"200604";"193072";"7532";"1203690";"1095538";"108152"
"Brasil";"Mulheres";"Branca";"40 a 44 anos";"1918405";"1689023";"229382";"265130";"255426";"9704";"922719";"842647";"80072"
"Brasil";"Mulheres";"Branca";"45 a 49 anos";"1890606";"1662521";"228085";"290674";"281233";"9441";"696858";"639603";"57255"
"Brasil";"Mulheres";"Branca";"50 a 54 anos";"1642521";"1436479";"206043";"265136";"256896";"8240";"505622";"465235";"40387"
"Brasil";"Mulheres";"Branca";"55 a 59 anos";"1354829";"1176099";"178730";"203191";"196992";"6199";"357029";"325345";"31684"
"Brasil";"Mulheres";"Branca";"60 a 64 anos";"1029478";"887215";"142264";"138060";"133804";"4257";"255929";"232660";"23269"
"Brasil";"Mulheres";"Branca";"65 a 69 anos";"708073";"604845";"103229";"80150";"77615";"2535";"170994";"153803";"17191"
"Brasil";"Mulheres";"Branca";"70 a 74 anos";"478842";"411448";"67394";"44815";"43419";"1396";"125602";"112012";"13590"
"Brasil";"Mulheres";"Branca";"75 a 79 anos";"276962";"239731";"37231";"22743";"22042";"700";"84763";"76059";"8704"
"Brasil";"Mulheres";"Branca";"80 anos ou mais";"180165";"156480";"23685";"13538";"13122";"415";"107726";"97407";"10320"
"Brasil";"Mulheres";"Preta";"18 e 19 anos";"12736";"10353";"2383";"245";"211";"34";"216655";"188168";"28487"
"Brasil";"Mulheres";"Preta";"20 a 24 anos";"96495";"82993";"13503";"2542";"2296";"245";"541645";"477795";"63850"
"Brasil";"Mulheres";"Preta";"25 a 29 anos";"176355";"154948";"21407";"7448";"7053";"395";"477993";"423660";"54333"
"Brasil";"Mulheres";"Preta";"30 a 34 anos";"208346";"183881";"24465";"14421";"13664";"756";"391762";"347979";"43783"
"Brasil";"Mulheres";"Preta";"35 a 39 anos";"207622";"182104";"25518";"20604";"19645";"960";"290733";"258403";"32330"
"Brasil";"Mulheres";"Preta";"40 a 44 anos";"211770";"183555";"28215";"26211";"25020";"1191";"236173";"209144";"27028"
"Brasil";"Mulheres";"Preta";"45 a 49 anos";"205186";"178150";"27036";"29510";"28249";"1261";"184421";"164141";"20280"
"Brasil";"Mulheres";"Preta";"50 a 54 anos";"185353";"158579";"26774";"27888";"26754";"1134";"138368";"122258";"16111"
"Brasil";"Mulheres";"Preta";"55 a 59 anos";"148616";"125065";"23551";"21029";"19988";"1041";"99697";"86818";"12878"
"Brasil";"Mulheres";"Preta";"60 a 64 anos";"107188";"89415";"17773";"13318";"12816";"502";"71511";"61522";"9989"
"Brasil";"Mulheres";"Preta";"65 a 69 anos";"69938";"57444";"12494";"8192";"7775";"417";"48824";"41930";"6894"
"Brasil";"Mulheres";"Preta";"70 a 74 anos";"43972";"35794";"8178";"4354";"4115";"239";"34393";"29157";"5236"
"Brasil";"Mulheres";"Preta";"75 a 79 anos";"22800";"18442";"4359";"2261";"2160";"101";"22398";"18832";"3565"
"Brasil";"Mulheres";"Preta";"80 anos ou mais";"15394";"12218";"3177";"1136";"1072";"64";"26543";"22287";"4255"
"Brasil";"Mulheres";"Amarela";"18 e 19 anos";"3151";"2593";"557";"63";"37";"26";"37435";"32609";"4826"
"Brasil";"Mulheres";"Amarela";"20 a 24 anos";"22422";"19512";"2910";"566";"518";"48";"90450";"80252";"10198"
"Brasil";"Mulheres";"Amarela";"25 a 29 anos";"37317";"33205";"4111";"2111";"1964";"148";"74339";"66392";"7946"
"Brasil";"Mulheres";"Amarela";"30 a 34 anos";"46316";"41223";"5092";"3660";"3465";"195";"51094";"45282";"5812"
"Brasil";"Mulheres";"Amarela";"35 a 39 anos";"43776";"38860";"4916";"4484";"4294";"190";"35541";"31465";"4076"
"Brasil";"Mulheres";"Amarela";"40 a 44 anos";"41440";"36682";"4759";"5619";"5415";"204";"25533";"22893";"2639"
"Brasil";"Mulheres";"Amarela";"45 a 49 anos";"39492";"34889";"4603";"5101";"4965";"135";"18989";"17042";"1947"
"Brasil";"Mulheres";"Amarela";"50 a 54 anos";"33641";"29342";"4299";"4371";"4167";"204";"13999";"12669";"1330"
"Brasil";"Mulheres";"Amarela";"55 a 59 anos";"30295";"26378";"3916";"3415";"3326";"89";"10158";"9246";"912"
"Brasil";"Mulheres";"Amarela";"60 a 64 anos";"25963";"22851";"3112";"2515";"2448";"68";"8125";"7377";"748"
"Brasil";"Mulheres";"Amarela";"65 a 69 anos";"20428";"17714";"2714";"1474";"1382";"92";"4952";"4425";"527"
"Brasil";"Mulheres";"Amarela";"70 a 74 anos";"13086";"11368";"1718";"914";"861";"53";"3474";"3048";"426"
"Brasil";"Mulheres";"Amarela";"75 a 79 anos";"7702";"6549";"1153";"220";"217";"3";"1977";"1717";"259"
"Brasil";"Mulheres";"Amarela";"80 anos ou mais";"4672";"4146";"526";"207";"190";"18";"1887";"1547";"340"
"Brasil";"Mulheres";"Parda";"18 e 19 anos";"109423";"84173";"25250";"1471";"1231";"239";"1424114";"1159291";"264823"
"Brasil";"Mulheres";"Parda";"20 a 24 anos";"675153";"541851";"133302";"17337";"15424";"1914";"3153556";"2619039";"534516"
"Brasil";"Mulheres";"Parda";"25 a 29 anos";"1139521";"946321";"193200";"49723";"46335";"3389";"2512833";"2106229";"406603"
"Brasil";"Mulheres";"Parda";"30 a 34 anos";"1354014";"1131232";"222782";"91636";"85597";"6039";"1931670";"1625353";"306317"
"Brasil";"Mulheres";"Parda";"35 a 39 anos";"1360804";"1128757";"232047";"120479";"113235";"7244";"1421605";"1197089";"224516"
"Brasil";"Mulheres";"Parda";"40 a 44 anos";"1349984";"1106817";"243167";"150753";"141887";"8866";"1065602";"901288";"164314"
"Brasil";"Mulheres";"Parda";"45 a 49 anos";"1256854";"1023811";"233043";"155801";"146799";"9002";"769888";"652183";"117705"
"Brasil";"Mulheres";"Parda";"50 a 54 anos";"1079160";"870802";"208359";"137111";"129787";"7324";"537160";"452322";"84838"
"Brasil";"Mulheres";"Parda";"55 a 59 anos";"856616";"676703";"179913";"100473";"95088";"5385";"363254";"300008";"63246"
"Brasil";"Mulheres";"Parda";"60 a 64 anos";"610511";"477220";"133291";"64866";"61319";"3547";"248124";"201872";"46252"
"Brasil";"Mulheres";"Parda";"65 a 69 anos";"404221";"310040";"94181";"37735";"35703";"2032";"170893";"135787";"35106"
"Brasil";"Mulheres";"Parda";"70 a 74 anos";"253784";"194890";"58894";"19884";"18672";"1212";"114387";"89786";"24601"
"Brasil";"Mulheres";"Parda";"75 a 79 anos";"128402";"98103";"30299";"8860";"8199";"661";"71419";"55727";"15692"
"Brasil";"Mulheres";"Parda";"80 anos ou mais";"83915";"63395";"20520";"4677";"4257";"420";"79504";"60301";"19203"
"Brasil";"Mulheres";"Indígena";"18 e 19 anos";"1835";"582";"1252";"29";"11";"18";"13293";"5073";"8219"
"Brasil";"Mulheres";"Indígena";"20 a 24 anos";"6063";"2205";"3858";"222";"138";"84";"28487";"11784";"16703"
"Brasil";"Mulheres";"Indígena";"25 a 29 anos";"8614";"3884";"4729";"278";"200";"78";"22381";"9360";"13021"
"Brasil";"Mulheres";"Indígena";"30 a 34 anos";"9422";"4919";"4503";"494";"417";"77";"18053";"8328";"9726"
"Brasil";"Mulheres";"Indígena";"35 a 39 anos";"9494";"5237";"4257";"905";"734";"171";"13067";"6433";"6634"
"Brasil";"Mulheres";"Indígena";"40 a 44 anos";"8865";"5404";"3461";"961";"788";"173";"9982";"5475";"4507"
"Brasil";"Mulheres";"Indígena";"45 a 49 anos";"7658";"4425";"3233";"1149";"1067";"81";"7421";"3853";"3568"
"Brasil";"Mulheres";"Indígena";"50 a 54 anos";"6612";"4402";"2210";"863";"744";"118";"5085";"2723";"2362"
"Brasil";"Mulheres";"Indígena";"55 a 59 anos";"5441";"3545";"1897";"662";"536";"126";"4176";"2249";"1927"
"Brasil";"Mulheres";"Indígena";"60 a 64 anos";"4294";"2648";"1646";"665";"617";"48";"3668";"1682";"1985"
"Brasil";"Mulheres";"Indígena";"65 a 69 anos";"3172";"1907";"1265";"321";"303";"17";"2887";"1063";"1824"
"Brasil";"Mulheres";"Indígena";"70 a 74 anos";"1979";"1168";"811";"152";"138";"13";"1733";"661";"1073"
"Brasil";"Mulheres";"Indígena";"75 a 79 anos";"774";"431";"343";"182";"172";"10";"1166";"471";"695"
"Brasil";"Mulheres";"Indígena";"80 anos ou mais";"1008";"537";"471";"112";"97";"15";"1719";"652";"1067"
"Brasil";"Mulheres";"Sem declaração";"18 e 19 anos";"-";"-";"-";"-";"-";"-";"335";"289";"46"
"Brasil";"Mulheres";"Sem declaração";"20 a 24 anos";"79";"79";"-";"-";"-";"-";"1330";"1060";"270"
"Brasil";"Mulheres";"Sem declaração";"25 a 29 anos";"269";"210";"59";"19";"19";"-";"1364";"1109";"254"
"Brasil";"Mulheres";"Sem declaração";"30 a 34 anos";"415";"389";"25";"-";"-";"-";"1140";"968";"172"
"Brasil";"Mulheres";"Sem declaração";"35 a 39 anos";"527";"460";"67";"24";"24";"-";"790";"703";"87"
"Brasil";"Mulheres";"Sem declaração";"40 a 44 anos";"238";"219";"18";"97";"76";"21";"564";"493";"72"
"Brasil";"Mulheres";"Sem declaração";"45 a 49 anos";"231";"218";"13";"37";"37";"-";"428";"361";"67"
"Brasil";"Mulheres";"Sem declaração";"50 a 54 anos";"243";"243";"-";"70";"70";"-";"378";"348";"29"
"Brasil";"Mulheres";"Sem declaração";"55 a 59 anos";"231";"231";"-";"39";"39";"-";"362";"351";"10"
"Brasil";"Mulheres";"Sem declaração";"60 a 64 anos";"128";"128";"-";"20";"20";"-";"194";"192";"3"
"Brasil";"Mulheres";"Sem declaração";"65 a 69 anos";"76";"76";"-";"11";"11";"-";"119";"119";"-"
"Brasil";"Mulheres";"Sem declaração";"70 a 74 anos";"19";"19";"-";"-";"-";"-";"32";"32";"-"
"Brasil";"Mulheres";"Sem declaração";"75 a 79 anos";"42";"31";"11";"16";"16";"-";"43";"43";"-"
"Brasil";"Mulheres";"Sem declaração";"80 anos ou mais";"13";"13";"-";"8";"8";"-";"35";"35";"-"
"Norte";"Homens";"Branca";"18 e 19 anos";"1263";"1060";"203";"24";"14";"10";"64463";"51219";"13244"
"Norte";"Homens";"Branca";"20 a 24 anos";"14592";"11547";"3045";"222";"170";"52";"153176";"123403";"29773"
"Norte";"Homens";"Branca";"25 a 29 anos";"36093";"29653";"6440";"1189";"1077";"113";"125832";"101781";"24050"
"Norte";"Homens";"Branca";"30 a 34 anos";"50296";"41257";"9039";"2253";"2039";"214";"93068";"73170";"19898"
"Norte";"Homens";"Branca";"35 a 39 anos";"52148";"42404";"9744";"3721";"3406";"315";"68435";"53714";"14721"
"Norte";"Homens";"Branca";"40 a 44 anos";"53059";"41434";"11625";"4043";"3504";"539";"47220";"37179";"10041"
"Norte";"Homens";"Branca";"45 a 49 anos";"51656";"40949";"10707";"4627";"3893";"734";"32363";"25283";"7080"
"Norte";"Homens";"Branca";"50 a 54 anos";"46676";"36251";"10425";"5326";"4488";"838";"20927";"15971";"4956"
"Norte";"Homens";"Branca";"55 a 59 anos";"37201";"27928";"9273";"4406";"3664";"742";"13824";"10057";"3767"
"Norte";"Homens";"Branca";"60 a 64 anos";"30273";"23017";"7255";"2685";"2199";"486";"8678";"6251";"2427"
"Norte";"Homens";"Branca";"65 a 69 anos";"22025";"16246";"5779";"2084";"1761";"324";"6069";"4150";"1919"
"Norte";"Homens";"Branca";"70 a 74 anos";"15960";"11767";"4193";"1099";"909";"190";"3843";"2514";"1328"
"Norte";"Homens";"Branca";"75 a 79 anos";"10315";"7736";"2579";"546";"448";"97";"2369";"1751";"617"
"Norte";"Homens";"Branca";"80 anos ou mais";"9029";"7087";"1942";"379";"323";"56";"2365";"1744";"620"
"Norte";"Homens";"Preta";"18 e 19 anos";"333";"253";"80";"23";"13";"10";"20494";"14790";"5704"
"Norte";"Homens";"Preta";"20 a 24 anos";"4779";"3732";"1047";"107";"56";"51";"53029";"39779";"13250"
"Norte";"Homens";"Preta";"25 a 29 anos";"9994";"7983";"2011";"354";"270";"83";"48254";"36217";"12037"
"Norte";"Homens";"Preta";"30 a 34 anos";"14496";"11326";"3170";"658";"556";"102";"41001";"30027";"10974"
"Norte";"Homens";"Preta";"35 a 39 anos";"15905";"12336";"3569";"918";"738";"180";"29712";"21746";"7966"
"Norte";"Homens";"Preta";"40 a 44 anos";"16574";"12305";"4269";"1190";"985";"205";"23752";"16859";"6894"
"Norte";"Homens";"Preta";"45 a 49 anos";"15589";"11812";"3777";"1114";"949";"166";"17640";"12393";"5247"
"Norte";"Homens";"Preta";"50 a 54 anos";"14440";"10532";"3909";"1216";"1019";"197";"12500";"8120";"4380"
"Norte";"Homens";"Preta";"55 a 59 anos";"11462";"7908";"3554";"1022";"868";"154";"8622";"5525";"3097"
"Norte";"Homens";"Preta";"60 a 64 anos";"8925";"6000";"2924";"638";"525";"113";"4968";"3186";"1782"
"Norte";"Homens";"Preta";"65 a 69 anos";"7325";"4709";"2616";"460";"371";"89";"3745";"2198";"1547"
"Norte";"Homens";"Preta";"70 a 74 anos";"5092";"3423";"1668";"265";"227";"38";"2237";"1374";"863"
"Norte";"Homens";"Preta";"75 a 79 anos";"3087";"2214";"873";"214";"187";"28";"1525";"1043";"482"
"Norte";"Homens";"Preta";"80 anos ou mais";"2583";"1936";"647";"114";"88";"26";"1358";"887";"471"
"Norte";"Homens";"Amarela";"18 e 19 anos";"81";"68";"13";"17";"17";"-";"3220";"2570";"651"
"Norte";"Homens";"Amarela";"20 a 24 anos";"1089";"935";"154";"-";"-";"-";"7821";"6488";"1333"
"Norte";"Homens";"Amarela";"25 a 29 anos";"1723";"1453";"270";"36";"32";"3";"5769";"4544";"1224"
"Norte";"Homens";"Amarela";"30 a 34 anos";"2304";"1856";"449";"48";"48";"-";"4265";"3384";"881"
"Norte";"Homens";"Amarela";"35 a 39 anos";"2012";"1685";"327";"95";"77";"18";"2942";"2255";"687"
"Norte";"Homens";"Amarela";"40 a 44 anos";"2257";"1654";"603";"138";"109";"29";"2028";"1461";"567"
"Norte";"Homens";"Amarela";"45 a 49 anos";"2218";"1689";"529";"189";"172";"17";"1429";"977";"452"
"Norte";"Homens";"Amarela";"50 a 54 anos";"1695";"1278";"418";"231";"162";"68";"967";"606";"361"
"Norte";"Homens";"Amarela";"55 a 59 anos";"1471";"1068";"403";"148";"116";"32";"529";"318";"211"
"Norte";"Homens";"Amarela";"60 a 64 anos";"1109";"781";"329";"102";"92";"10";"567";"401";"166"
"Norte";"Homens";"Amarela";"65 a 69 anos";"863";"620";"244";"43";"43";"-";"353";"288";"65"
"Norte";"Homens";"Amarela";"70 a 74 anos";"879";"701";"177";"51";"50";"2";"208";"160";"48"
"Norte";"Homens";"Amarela";"75 a 79 anos";"466";"352";"115";"30";"26";"3";"125";"81";"44"
