"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso (Mil pessoas)"
"";"Grupo de idade";"Ano x Sexo"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Percentual de pessoas de 18 anos ou mais de idade com excesso de peso, considerando um intervalo de confiança de 95% - limite superior (%)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"33,7";"53,1"
"Brasil";"25 a 39 anos";"64,1";"64,3"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"71,8";"77,0"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"69,2";"69,7"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Coeficiente de variação - Percentual de pessoas de 18 anos ou mais de idade com excesso de peso (%)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"14,6";"13,7"
"Brasil";"25 a 39 anos";"5,2";"6,7"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"3,7";"2,9"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"5,0";"3,6"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Pessoas de 18 anos ou mais de idade com obesidade (Mil pessoas)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"876,497";"1489,544"
"Brasil";"25 a 39 anos";"4332,879";"6705,302"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"7889,357";"11415,190"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"3153,399";"5367,996"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Pessoas de 18 anos ou mais de idade com obesidade, considerando um intervalo de confiança de 95% - limite inferior (Mil pessoas)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"437,433";"858,671"
"Brasil";"25 a 39 anos";"3351,060";"4196,166"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"6377,554";"9668,928"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"2214,049";"4443,147"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Pessoas de 18 anos ou mais de idade com obesidade, considerando um intervalo de confiança de 95% - limite superior (Mil pessoas)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"1315,562";"2120,417"
"Brasil";"25 a 39 anos";"5314,699";"9214,438"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"9401,159";"13161,453"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"4092,748";"6292,845"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
"Variável - Coeficiente de variação - Pessoas de 18 anos ou mais de idade com obesidade (%)"
"";"Grupo de idade";"Ano x Sexo"
"";"Grupo de idade";"2019"
"";"Grupo de idade";"Homens";"Mulheres"
"Brasil";"18 a 24 anos";"25,5";"21,6"
"Brasil";"25 a 39 anos";"11,5";"19,1"
"Brasil";"25 a 29 anos";"...";"..."
"Brasil";"30 a 34 anos";"...";"..."
"Brasil";"35 a 44 anos";"...";"..."
"Brasil";"40 a 59 anos";"9,8";"7,8"
"Brasil";"45 a 54 anos";"...";"..."
"Brasil";"55 a 64 anos";"...";"..."
"Brasil";"60 anos ou mais";"15,2";"8,8"
"Brasil";"65 a 74 anos";"...";"..."
"Brasil";"75 anos ou mais";"...";"..."
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8168 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e grupo de idade"
