"Tabela 7536 - Limites superiores das classes de percentual das pessoas em ordem crescente de rendimento habitualmente recebido, a preços médios do ano"
"Variável - Limites superiores das classes de percentual das pessoas em ordem crescente de rendimento habitualmente recebido, a preços médios do ano (Reais)"
"Brasil, Grande Região e Unidade da Federação";"Ano x Classes de percentual em ordem crescente de rendimento habitualmente recebido"
"Brasil, Grande Região e Unidade da Federação";"2024"
"Brasil, Grande Região e Unidade da Federação";"P5";"P10";"P20";"P30";"P40";"P50";"P60";"P70";"P80";"P90";"P95";"P99"
"Amapá";"10,3";"8,0";"8,4";"6,9";"0,3";"5,7";"6,5";"5,1";"7,3";"6,0";"9,9";"12,7"
"Tocantins";"6,6";"6,8";"7,1";"0,4";"1,3";"4,9";"4,5";"3,8";"6,1";"5,2";"6,6";"10,5"
"Maranhão";"0,7";"0,6";"1,0";"4,6";"1,7";"0,2";"0,4";"3,6";"3,6";"3,7";"5,5";"17,1"
"Piauí";"4,3";"6,7";"4,3";"6,0";"3,8";"0,3";"0,3";"3,9";"5,0";"7,0";"11,5";"20,2"
"Ceará";"1,0";"6,3";"0,8";"4,9";"1,2";"0,2";"1,0";"3,3";"4,2";"5,9";"6,2";"12,9"
"Rio Grande do Norte";"5,0";"5,5";"7,0";"5,3";"0,4";"0,4";"5,9";"8,5";"13,0";"19,4";"19,3";"34,6"
"Paraíba";"6,6";"6,3";"4,1";"5,1";"0,3";"0,2";"1,2";"2,9";"4,4";"5,6";"10,9";"9,0"
"Pernambuco";"8,3";"3,7";"5,0";"6,2";"0,3";"0,3";"2,0";"2,2";"4,3";"5,2";"7,3";"8,6"
"Alagoas";"4,2";"5,2";"3,1";"3,4";"0,3";"0,1";"1,5";"3,1";"4,8";"8,5";"15,3";"15,5"
"Sergipe";"10,0";"6,3";"5,6";"6,2";"1,4";"0,1";"3,7";"1,9";"4,5";"8,3";"11,9";"22,5"
"Bahia";"5,5";"3,2";"5,0";"5,1";"3,4";"0,1";"1,1";"2,7";"4,0";"4,6";"6,2";"13,0"
"Minas Gerais";"4,0";"4,5";"0,4";"0,3";"1,0";"0,4";"2,9";"1,2";"3,1";"4,2";"5,8";"6,6"
"Espírito Santo";"2,5";"4,8";"0,3";"1,0";"2,6";"0,4";"2,7";"1,5";"3,0";"4,6";"5,1";"6,4"
